	EntryID	Headword	Hypernym	Author
3703	d2e2167427Meyers-1905	Licuāla	Licuāla acutifida	Mart
3704	d2e2171977Meyers-1905	Ligustĭcum	L mutellina	Crtz
3705	d2e2171977Meyers-1905	Ligustĭcum	Meum mutellina	Gärtn
3706	d2e2172013Meyers-1905	Ligustrum	Ligustrum vulgare	L
3707	d2e2172013Meyers-1905	Ligustrum	L lucidum	Ait
3708	d2e2172451Meyers-1905	Lilĭazeen	Asparagus officinalis	L
3709	d2e2172926Meyers-1905	Lilĭum	L giganteum	Wall
3710	d2e2172926Meyers-1905	Lilĭum	L japonicum	Thunb
3711	d2e2172926Meyers-1905	Lilĭum	L longiflorum	Thunb
3712	d2e2172926Meyers-1905	Lilĭum	L candidum	L
3713	d2e2172926Meyers-1905	Lilĭum	L bulbiferum	L
3714	d2e2172926Meyers-1905	Lilĭum	L dauricum	Gawl
3715	d2e2172926Meyers-1905	Lilĭum	L speciosum	Thunb
3716	d2e2172926Meyers-1905	Lilĭum	L lancifolium	hort
3717	d2e2172926Meyers-1905	Lilĭum	L auratum	Lindl
3718	d2e2172926Meyers-1905	Lilĭum	Lindl tigrinum	Gawl
3719	d2e2172926Meyers-1905	Lilĭum	L Martagon	L
3720	d2e2172926Meyers-1905	Lilĭum	L superbum	L
3721	d2e2174202Meyers-1905	Limettöl	var. acida	Brandis
3722	d2e2174202Meyers-1905	Limettöl	Citrus Limetta	
3723	d2e2175454Meyers-1905	Linarĭa [1]	Linarĭa vulgaris	Mill
3724	d2e2175454Meyers-1905	Linarĭa [1]	Linarĭa alpina	Mill
3724	d2e2175454Meyers-1905	Linarĭa [1]	Linarĭa alpina	Mill
3726	d2e2175929Meyers-1905	Linde [1]	Tilia ulmifolia	Scop
3727	d2e2175929Meyers-1905	Linde [1]	Tilia cordata	
3728	d2e2175929Meyers-1905	Linde [1]	Miller	, 
3729	d2e2175929Meyers-1905	Linde [1]	Tilia parvifolia	Ehrh
3730	d2e2175929Meyers-1905	Linde [1]	Tilia platyphyllos	Scop
3731	d2e2175929Meyers-1905	Linde [1]	Tilia grandifolia	
3732	d2e2175929Meyers-1905	Linde [1]	Tilia argentea	Desf
3733	d2e2175929Meyers-1905	Linde [1]	Tilia tomentosa	
3734	d2e2175929Meyers-1905	Linde [1]	Tilia alba	Ait
3735	d2e2175929Meyers-1905	Linde [1]	Tilia americana	L
3736	d2e2175929Meyers-1905	Linde [1]	Tilia glabra	
3737	d2e2179011Meyers-1905	Linnaea	Linnaea borealis	Gronov
3738	d2e2179892Meyers-1905	Linse [3]	Mönch	. 
3739	d2e2179892Meyers-1905	Linse [3]	E. Lens	L
3740	d2e2180316Meyers-1905	Linum [1]	L usitatissimum	
3741	d2e2180316Meyers-1905	Linum [1]	L angustifolium	Huds
3742	d2e2180316Meyers-1905	Linum [1]	L grandiflorum	Desf
3743	d2e2180316Meyers-1905	Linum [1]	L perenne	L
3744	d2e2182044Meyers-1905	Lippĭa	L citriodora	
3745	d2e2182044Meyers-1905	Lippĭa	Aloysia citriodora	Ort
3746	d2e2182752Meyers-1905	Liquidambar	L styraciflua	L
3747	d2e2182752Meyers-1905	Liquidambar	L orientalis	Mill
3748	d2e2183361Meyers-1905	Lirĭodendron	L tulipifera	L
3751	d2e2183394Meyers-1905	Lirĭosma	Lirĭosma ovata	Miers
3752	d2e2183753Meyers-1905	Lisianthus	L Russelianus	Hook
3753	d2e2183753Meyers-1905	Lisianthus	Eustoma Russelianum	Don
3754	d2e2186646Meyers-1905	Lithospermum	L officinale	L
3755	d2e2186646Meyers-1905	Lithospermum	L arvense	L
3756	d2e2188867Meyers-1905	Livistona	Lam australis	Hart
3757	d2e2188867Meyers-1905	Livistona	Corypha australis	R. Br
3758	d2e2188867Meyers-1905	Livistona	Livistona Jenkinsiana	Griff
3759	d2e2188867Meyers-1905	Livistona	Livistona rotundifolia	Mart
3760	d2e2188867Meyers-1905	Livistona	Saribus rotundifolius	
3761	d2e2188867Meyers-1905	Livistona	Livistona chinensis	Hart
3762	d2e2188867Meyers-1905	Livistona	Livistona borbonica	Lam
3763	d2e2191132Meyers-1905	Loāsa	Loāsa lateritia	Hook
3764	d2e2191132Meyers-1905	Loāsa	Loāsa urens	Jacq
3765	d2e2191132Meyers-1905	Loāsa	Loāsa bispida	L. fil
3766	d2e2191568Meyers-1905	Lobelĭa	L inflata	L
3767	d2e2191568Meyers-1905	Lobelĭa	L Erinus	L
3768	d2e2191568Meyers-1905	Lobelĭa	L fulgens	Willd
3769	d2e2191568Meyers-1905	Lobelĭa	L splendens	Willd
3770	d2e2191568Meyers-1905	Lobelĭa	L cardinalis	L
3771	d2e2192723Meyers-1905	Lochnera	Lochnera rosea	Reichb
3772	d2e2192784Meyers-1905	Lochotter	Trimeresurus gramineus	Gthr
3773	d2e2192784Meyers-1905	Lochotter	Trimeresurus jaracara	Gthr
3774	d2e2194337Meyers-1905	Lodoïcēa	Sechellarum	Labill
3775	d2e2194735Meyers-1905	Löffelreiher	Platalea leucorodia	L
3776	d2e2199900Meyers-1905	Löland	Aandelige	Klenodier
3777	d2e2199982Meyers-1905	Lolĭum	L perenne	L
3778	d2e2199982Meyers-1905	Lolĭum	L temulentum	L
3779	d2e2201107Meyers-1905	London [1]	Army and Navy	Club
3780	d2e2203795Meyers-1905	Lonicēra	L Periclymenum	L
3781	d2e2203795Meyers-1905	Lonicēra	L sempervirens	L
3782	d2e2203795Meyers-1905	Lonicēra	L brachypoda	DC
3783	d2e2203795Meyers-1905	Lonicēra	L Xylosteum	L
3784	d2e2203795Meyers-1905	Lonicēra	L tatarica	L
3785	d2e2203795Meyers-1905	Lonicēra	L nigra	L
3786	d2e2203795Meyers-1905	Lonicēra	L alpigena	L
3787	d2e2205042Meyers-1905	Lophodermĭum	Tode	, 
3788	d2e2205042Meyers-1905	Lophodermĭum	Hypoderma	DC
3789	d2e2205042Meyers-1905	Lophodermĭum	Lophodermĭum macrosporum	Hrtg
3790	d2e2205042Meyers-1905	Lophodermĭum	Lophodermĭum nervisequium	Hrtg
3793	d2e2205153Meyers-1905	Lophophўtum	Lophophўtum mirabile	Schott
3794	d2e2205425Meyers-1905	Loranthus	L europaeus	L
3795	d2e2206344Meyers-1905	Lori	Stenops tardigradus	L
3796	d2e2210568Meyers-1905	Lotus	L corniculatus	
3797	d2e2210568Meyers-1905	Lotus	L uliginosus	Schk
3798	d2e2210568Meyers-1905	Lotus	L siliquosus	L
3799	d2e2210568Meyers-1905	Lotus	L edulis	L
3800	d2e2210568Meyers-1905	Lotus	L jacobaeus	L
3801	d2e2210568Meyers-1905	Lotus	L peliorrhynchus	Hook
3802	d2e2210568Meyers-1905	Lotus	L arabicus	L
3803	d2e2212554Meyers-1905	Löwe [1]	Leo barbarus	Cuv
3805	d2e2216130Meyers-1905	Luchs [1]	Felis	L
3806	d2e2216130Meyers-1905	Luchs [1]	F. Chaus	Temm
3807	d2e2216130Meyers-1905	Luchs [1]	F. Caracal	Schreb
3808	d2e2216130Meyers-1905	Luchs [1]	F. Lynx	L
3809	d2e2216130Meyers-1905	Luchs [1]	Felis pardina	L
3810	d2e2216130Meyers-1905	Luchs [1]	F. canadensis	Desm
3811	d2e2216130Meyers-1905	Luchs [1]	F. rufa	Güldst
3812	d2e2220390Meyers-1905	Luffa	L cylindrica	Röm
3813	d2e2220390Meyers-1905	Luffa	L acutangula	Roxb
3814	d2e2227185Meyers-1905	Lumme	Uria Grylle	L
3815	d2e2227185Meyers-1905	Lumme	Uria Troille	L
3816	d2e2227380Meyers-1905	Lumpfisch	Cyclopterus lumpus	L
3817	d2e2227516Meyers-1905	Lunarĭa	Lepidium biennis	Mönch
3818	d2e2227516Meyers-1905	Lunarĭa	L rediviva	L
3819	d2e2230713Meyers-1905	Lupīne	Lupinus	L
3820	d2e2230713Meyers-1905	Lupīne	L albus	L
3821	d2e2230713Meyers-1905	Lupīne	L hirsutus	L
3822	d2e2230713Meyers-1905	Lupīne	L Termis	Forsk
3823	d2e2230713Meyers-1905	Lupīne	Lindl perennis	L
3824	d2e2230713Meyers-1905	Lupīne	L luteus	L
3825	d2e2230713Meyers-1905	Lupīne	L angustifolius	L
3826	d2e2230713Meyers-1905	Lupīne	Lupinus polyphyllus	Lindl
3827	d2e2230713Meyers-1905	Lupīne	Lindl perennis	L
3828	d2e2235729Meyers-1905	Luzŭla	Luzŭla pilosa	Willd
3829	d2e2235729Meyers-1905	Luzŭla	Luzŭla campestris	Desv
3830	d2e2236111Meyers-1905	Lychnis	L chalcedonica	L
3831	d2e2236111Meyers-1905	Lychnis	L coronaria	L
3832	d2e2236111Meyers-1905	Lychnis	L flos cuculi	L
3833	d2e2236111Meyers-1905	Lychnis	L fulgens	Pisch
3834	d2e2236111Meyers-1905	Lychnis	L Haageana	Lem
3835	d2e2236111Meyers-1905	Lychnis	Lem grandiflora	Jacq
3836	d2e2236111Meyers-1905	Lychnis	L Sieboldi	Vanh
3837	d2e2236268Meyers-1905	Lycĭum	L halimifolium	L
3838	d2e2236268Meyers-1905	Lycĭum	L barbarum	L
3839	d2e2236268Meyers-1905	Lycĭum	L afrum	L
3840	d2e2236349Meyers-1905	Lycopérdon	L bovista	L
3841	d2e2236397Meyers-1905	Lycopersĭcum	Lycopersĭcum esculentum	Mill
3842	d2e2236461Meyers-1905	Lycopodĭum	L clavatum	L
3843	d2e2236461Meyers-1905	Lycopodĭum	L complanatum	L
3844	d2e2236461Meyers-1905	Lycopodĭum	L alpinum	L
3845	d2e2236461Meyers-1905	Lycopodĭum	L Selago	
3846	d2e2237076Meyers-1905	Lygodĭum	Lygodĭum scandens	Sw
3847	d2e2237076Meyers-1905	Lygodĭum	Lygodĭum expansum	Sw
3848	d2e2237409Meyers-1905	Lykopodĭazeen	Lycopodium	L
3849	d2e2237409Meyers-1905	Lykopodĭazeen	Lycopodites	Brongn
3850	d2e2237465Meyers-1905	Lykopodĭnen	Lepidodendron	Brongn
3851	d2e2237465Meyers-1905	Lykopodĭnen	Ulodendron	Sternb
3852	d2e2237465Meyers-1905	Lykopodĭnen	Halonia	Lindl
3853	d2e2237465Meyers-1905	Lykopodĭnen	Sigillaria	Brongn
3854	d2e2237465Meyers-1905	Lykopodĭnen	Stigmaria	Brongn
3855	d2e2238989Meyers-1905	Lyonĭa	Lyonĭa ligustrina	DC
3856	d2e2238989Meyers-1905	Lyonĭa	Lyonĭa frondosa	Nutt
3857	d2e2238989Meyers-1905	Lyonĭa	Lyonĭa calyculata	Rchb
3858	d2e2238989Meyers-1905	Lyonĭa	Andromeda calyculata	L
3859	d2e2238989Meyers-1905	Lyonĭa	L racemosa	Don
3860	d2e2238989Meyers-1905	Lyonĭa	Lyonĭa Mariana	Don
3861	d2e2239157Meyers-1905	Lyperĭa	Chaenostoma	Benth
3862	d2e2239157Meyers-1905	Lyperĭa	Lyperĭa crocea	Eckl.
3863	d2e2239157Meyers-1905	Lyperĭa	Lyperĭa atropurpurea	Benth
3864	d2e2239754Meyers-1905	Lysimachĭa	L thyrsiflora	L
3865	d2e2239754Meyers-1905	Lysimachĭa	L ephemerum	L
3866	d2e2239754Meyers-1905	Lysimachĭa	L punctata	L
3867	d2e2240065Meyers-1905	Lythrum E.	Lythrum E. salicaria	L
3868	d2e2240065Meyers-1905	Lythrum E.	L virgatum	L
3869	d2e2240065Meyers-1905	Lythrum E.	L Purshianum	Steud
3870	d2e2241571Meyers-1905	Maaß, Ernst	Scholia in	Iliadem Townleyana
3873	d2e2241880Meyers-1905	Maba [2]	Maba buxifolia	Pers
3874	d2e2241880Meyers-1905	Maba [2]	Maba Mualala	W
3875	d2e2241880Meyers-1905	Maba [2]	Maba geminata	R. Br
3876	d2e2241880Meyers-1905	Maba [2]	Maba major	G. Forst
3877	d2e2243956Meyers-1905	Machaerĭum	Machaerĭum scleroxylon	Pul
3878	d2e2243956Meyers-1905	Machaerĭum	Machaerĭum firmum	Benth
3879	d2e2243956Meyers-1905	Machaerĭum	Machaerĭum legale	Benth
3880	d2e2243956Meyers-1905	Machaerĭum	Machaerĭum violaceum	Benth
3881	d2e2243956Meyers-1905	Machaerĭum	Machaerĭum Schomburgkii	Benth
3882	d2e2245322Meyers-1905	Macleya	Macleya cordata	R. Br
3883	d2e2245322Meyers-1905	Macleya	Bocconia cordata	Willd
3884	d2e2245385Meyers-1905	Maclūra	Maclūra aurantiaca	Nutt
3885	d2e2246080Meyers-1905	Macrocystis	Macrocystis pyrifera	Ag
3886	d2e2246466Meyers-1905	Madagaskar	pacification de M	La
3887	d2e2248140Meyers-1905	Madenhacker	Buphaga erythrorhyncha	L
3888	d2e2248187Meyers-1905	Madenwurm	Oxyūris vermicularis	Bremser
3889	d2e2248187Meyers-1905	Madenwurm	Oxyūris ambigua	Rud
3890	d2e2248387Meyers-1905	Madĭa	Mol sativa	Mol
3891	d2e2258606Meyers-1905	Magnolĭa	Magnolĭa grandiflora	L
3892	d2e2258606Meyers-1905	Magnolĭa	Magnolĭa glauca	L
3893	d2e2258606Meyers-1905	Magnolĭa	Magnolĭa conspicua	Salisb
3894	d2e2258606Meyers-1905	Magnolĭa	Magnolĭa Yulan	hort
3895	d2e2258606Meyers-1905	Magnolĭa	Magnolĭa purpurea	Sims
3896	d2e2258606Meyers-1905	Magnolĭa	Magnolĭa obovata	Thunb
3897	d2e2261195Meyers-1905	Mahonĭa	Berberis	L
3898	d2e2261195Meyers-1905	Mahonĭa	Mahonĭa Aquifolium	Pursh
3899	d2e2262783Meyers-1905	Maikäfer	Melolontha vulgaris	L
3900	d2e2262783Meyers-1905	Maikäfer	Melolontha Hippocastani	Fab
3901	d2e2262783Meyers-1905	Maikäfer	Melolontha [Polyphylla] fullo	L
3902	d2e2262783Meyers-1905	Maikäfer	Rhizotrogus solstitialis	
3903	d2e2265353Meyers-1905	Mais	Zea Mais	L
3905	d2e2266370Meyers-1905	Maiwurm	Meloë proscarabaeus	L
3906	d2e2266370Meyers-1905	Maiwurm	Meloë variegatus s. majalis	L
3907	d2e2267546Meyers-1905	Makāko	Macacus	Desm
3908	d2e2267546Meyers-1905	Makāko	Makāko cynomolgus	L
3909	d2e2267546Meyers-1905	Makāko	Makāko sinicus	Geoffr
3910	d2e2267546Meyers-1905	Makāko	Rhesus	Wagn
3911	d2e2267546Meyers-1905	Makāko	Makāko Rhesus	Geoffr
3912	d2e2267546Meyers-1905	Makāko	Makāko erythraeus	Wagn
3913	d2e2267546Meyers-1905	Makāko	Makāko Silenus	Wagn
3914	d2e2267546Meyers-1905	Makāko	Inuus	Wagn
3915	d2e2267546Meyers-1905	Makāko	Inuus ecaudatus	Geoffr
3916	d2e2268239Meyers-1905	Maki	Lemuridae Macaco	L
3917	d2e2268239Meyers-1905	Maki	L Mongoz	L
3918	d2e2268766Meyers-1905	Makrēle	Scomberidae scomber	L
3919	d2e2275019Meyers-1905	Malettorinde	Eucalyptus occidentalis	Endl
3920	d2e2276591Meyers-1905	Mallōtus	Mallōtus philippinensis	Müll. — Arg
3921	d2e2276829Meyers-1905	Malmignatte	Lathrodectes tredecimguttatus	F
3922	d2e2276829Meyers-1905	Malmignatte	Latrodectus malmignatus	
3923	d2e2276829Meyers-1905	Malmignatte	Theridion lugubre	Duf
3924	d2e2277566Meyers-1905	Malpighĭazeen	Malpighiastrum	Göpp
3925	d2e2277566Meyers-1905	Malpighĭazeen	Banisteria	
3926	d2e2278796Meyers-1905	Malva	Malva Alcea	L
3927	d2e2278796Meyers-1905	Malva	Malva crispa	L
3928	d2e2278796Meyers-1905	Malva	Malva vulgaris	Fries
3929	d2e2278796Meyers-1905	Malva	Malva rotundifolia	Bauh
3930	d2e2278796Meyers-1905	Malva	Malva silvestris	L
3931	d2e2278796Meyers-1905	Malva	Malva moschata	L
3932	d2e2279081Meyers-1905	Malvenrost	Puccinia Malvaccarum	Mont
3933	d2e2279081Meyers-1905	Malvenrost	Puccinia Sherardiana	Körn
3936	d2e2280358Meyers-1905	Mammēa	Mammēa americana	L
3937	d2e2282237Meyers-1905	Mandarīnöl	Citrus nobilis	Laur
3938	d2e2282620Meyers-1905	Mandelbaum	Amygdalus nana	L
3939	d2e2282620Meyers-1905	Mandelbaum	Amygdalus communis	L
3940	d2e2282620Meyers-1905	Mandelbaum	Amygdalus persicoides	Seringe
3941	d2e2282817Meyers-1905	Mandelkrähe	Coraciadae garrulus	L
3942	d2e2283552Meyers-1905	Mandragŏra	Mandragŏra officinarum	L
3943	d2e2286187Meyers-1905	Mangifēra	Mangifēra indica	L
3944	d2e2287053Meyers-1905	Manihot	Müll utilissima	Pohl
3945	d2e2287053Meyers-1905	Manihot	Jatropha manihot	L
3946	d2e2287053Meyers-1905	Manihot	Manihot palmata var. Aipi	Müll
3947	d2e2287053Meyers-1905	Manihot	Müll utilissima	Pohl
3948	d2e2287053Meyers-1905	Manihot	Manihot carthagenensis	Müll
3949	d2e2287053Meyers-1905	Manihot	Jatropha Janipha	Puhl
3950	d2e2287053Meyers-1905	Manihot	Manihot Glaziovii	Müll. — Arg
3951	d2e2294290Meyers-1905	Mara [1]	Dolichotis patagonica	Wagn
3952	d2e2294376Meyers-1905	Marabu	Leptoptilus crumenifer	Less
3953	d2e2294890Meyers-1905	Maranta	Maranta arundinacea	L
3954	d2e2295015Meyers-1905	Marasmĭus	Marasmĭus scorodonius	Fr
3955	d2e2295015Meyers-1905	Marasmĭus	Marasmĭus oreades	Bolt
3956	d2e2296427Meyers-1905	Marchantĭa	Marchantĭa polymorpha	L
3957	d2e2297484Meyers-1905	Marder	Mustelidae Martes	L
3958	d2e2297484Meyers-1905	Marder	Mustela Foina	Briss
3960	d2e2302825Meyers-1905	Marienkäfer	Coccinella septempunctata	L
3961	d2e2302825Meyers-1905	Marienkäfer	Icerya Purchasi	Maskell
3962	d2e2313124Meyers-1905	Marrubĭum	Marrubĭum vulgare	L
3963	d2e2315319Meyers-1905	Marsilĭa	Marsilĭa quadrifolia	L
3964	d2e2315319Meyers-1905	Marsilĭa	Marsilĭa Nardu	A. Br
3965	d2e2315319Meyers-1905	Marsilĭa	Marsilĭa Drummondii	
3966	d2e2315319Meyers-1905	Marsilĭa	Marsilĭa salvatrix	Hanst
3968	d2e2318317Meyers-1905	Martynĭa	Martynĭa proboscoidea	Glox
3969	d2e2318317Meyers-1905	Martynĭa	Martynĭa altheaefolia	Dene
3970	d2e2318317Meyers-1905	Martynĭa	Martynĭa annua	L
3971	d2e2318317Meyers-1905	Martynĭa	Martynĭa proboscoidea	Glox
3972	d2e2319540Meyers-1905	Maesa	Maesa picta	Hochst
3975	d2e2321429Meyers-1905	Masdevallĭa	Masdevallĭa Lindeni	Rchb. fil
3976	d2e2321429Meyers-1905	Masdevallĭa	Masdevallĭa spectrum	Rchb. fil
3977	d2e2327265Meyers-1905	Mastŏdon	Mastodon giganteus	Cuv
3978	d2e2330644Meyers-1905	Matricarĭa	Matricarĭa chamomilla	L
3979	d2e2331875Meyers-1905	Matthiŏla	Matthiŏla annua	Sweet
3980	d2e2334801Meyers-1905	Maulwurf	Talpa europaea	L
3981	d2e2334910Meyers-1905	Maulwurfsgrille	Gryllidae vulgaris	Latr
3982	d2e2335584Meyers-1905	Maurĭa	Maurĭa simplicifolia	H
3983	d2e2335895Meyers-1905	Mauritĭa	Mauritĭa flexuosa	L. fil
3984	d2e2335895Meyers-1905	Mauritĭa	Mauritĭa vinifera	Mart
3985	d2e2336459Meyers-1905	Maus	Mus musculus	L
3986	d2e2336459Meyers-1905	Maus	Mus sylvaticus	L
3987	d2e2336459Meyers-1905	Maus	Mus agrarius	Pall
3988	d2e2336459Meyers-1905	Maus	Mus minutus	Pall
3989	d2e2338099Meyers-1905	Maximiliāna	Mart regia	Mart
3992	d2e2338131Meyers-1905	Maximilianēa	Cochlospermum	
3993	d2e2338131Meyers-1905	Maximilianēa	Mart Gossypium	O. Ktze
3994	d2e2338131Meyers-1905	Maximilianēa	Mart tinctoria	O. Ktze
3998	d2e2343941Meyers-1905	Medicāgo	Medicāgo sativa	L
3999	d2e2343941Meyers-1905	Medicāgo	Medicāgo lupulina	L
4000	d2e2344935Meyers-1905	Medinilla	Medinilla magnifica	Lindl
4001	d2e2347633Meyers-1905	Meeraal	Conger vulgaris	Cuv
4002	d2e2347633Meyers-1905	Meeraal	Leptocephalus Morrisii	Gron
4003	d2e2347757Meyers-1905	Meeräsche	Mugilidae cephalus	Cuv
4004	d2e2347757Meyers-1905	Meeräsche	Mugil capito	Cur
4005	d2e2347757Meyers-1905	Meeräsche	Mugil Chelo	Cuv
4006	d2e2348021Meyers-1905	Meerdrache	Pegasidae draco	
4007	d2e2349227Meyers-1905	Meerkatze	Catarrhini sabacus	Cur
4008	d2e2349227Meyers-1905	Meerkatze	Cur ruber	Cuv
4009	d2e2349227Meyers-1905	Meerkatze	Cuv fuliginosus	Geoffr
4010	d2e2349227Meyers-1905	Meerkatze	Cercopithecus Diana	Geofr
4011	d2e2349415Meyers-1905	Meerleuchten	Noctiluca Suriray miliaris	Sur
4012	d2e2349415Meyers-1905	Meerleuchten	Leptodiscus medusoides	Hertw
4013	d2e2349972Meyers-1905	Meerschweinchen	Cavia porcellus	L
4014	d2e2349972Meyers-1905	Meerschweinchen	Cavia cobaya	
4015	d2e2349972Meyers-1905	Meerschweinchen	Cavia Cutleri	King
4016	d2e2349972Meyers-1905	Meerschweinchen	Cavia aperĕa	Wagn
4017	d2e2350770Meyers-1905	Megalodontidae	Wulf	
4019	d2e2351291Meyers-1905	Megatherĭum	Megatherĭum Cuvieri	Desm
4020	d2e2351291Meyers-1905	Megatherĭum	Mylodon robustus	Owen
4021	d2e2351291Meyers-1905	Megatherĭum	Megalonyx Jeffersoni	Cuv
4022	d2e2353889Meyers-1905	Meise	Paridae pendulinus	Naum
4023	d2e2353889Meyers-1905	Meise	Naum	, 
4025	d2e2353889Meyers-1905	Meise	Parus caudatus	Naum
4026	d2e2353889Meyers-1905	Meise	Aegithalus caudatus	L
4027	d2e2353889Meyers-1905	Meise	Acredula caudata	
4028	d2e2353889Meyers-1905	Meise	Parus cristatus	Kaup
4029	d2e2353889Meyers-1905	Meise	Parus cristatus mitratus	
4030	d2e2353889Meyers-1905	Meise	Parus major	L
4031	d2e2353889Meyers-1905	Meise	Parus coeruleus	Kaup
4032	d2e2353889Meyers-1905	Meise	Parus ater	L
4033	d2e2353889Meyers-1905	Meise	Parus palustris	L
4034	d2e2353889Meyers-1905	Meise	Parus palustris	L
4035	d2e2353889Meyers-1905	Meise	Parus p. subpalustris	
4036	d2e2353889Meyers-1905	Meise	Parus p. Dresseri	Stejn
4037	d2e2355988Meyers-1905	Melaleuca	Melaleuca Leucadendron	L
4038	d2e2356400Meyers-1905	Melandryum	Melandryum album	Garcke
4039	d2e2356400Meyers-1905	Melandryum	Melandryum rubrum	Garcke
4040	d2e2356400Meyers-1905	Melandryum	Lychnis dioica	L
4041	d2e2357085Meyers-1905	Melastomazeen	Melastomites	Ung
4042	d2e2358255Meyers-1905	Melĭa	Melĭa Azedarach	L
4043	d2e2358255Meyers-1905	Melĭa	Melĭa Azadirachta	L
4044	d2e2358255Meyers-1905	Melĭa	Azadirachta indica	A. Juss
4045	d2e2358400Meyers-1905	Melĭca	Melĭca nutans	L
4046	d2e2358400Meyers-1905	Melĭca	Melĭca altissima	L
4047	d2e2358400Meyers-1905	Melĭca	Melĭca macra	L
4048	d2e2358691Meyers-1905	Melilōtus	Melilōtus alba	Desr
4049	d2e2358691Meyers-1905	Melilōtus	Melilōtus leucantha	
4050	d2e2358691Meyers-1905	Melilōtus	Melilōtus coerulea	Desr
4051	d2e2358691Meyers-1905	Melilōtus	Melilōtus officinalis	Desr
4052	d2e2359079Meyers-1905	Melissa [2]	Melissa officinalis	L
4053	d2e2359330Meyers-1905	Melitophilen	Goliathus	Lam
4054	d2e2359330Meyers-1905	Melitophilen	G. Druryi	Westw
4055	d2e2359330Meyers-1905	Melitophilen	T. fasciatus	L
4056	d2e2360001Meyers-1905	Melocactus	Melocactus communis	
4058	d2e2364248Meyers-1905	Menispermum	Menispermum canadense	L
4059	d2e2366914Meyers-1905	Mentha	Mentha piperita	L
4060	d2e2366914Meyers-1905	Mentha	Mentha viridis	L
4061	d2e2366914Meyers-1905	Mentha	Mentha aquatica	L
4062	d2e2366914Meyers-1905	Mentha	Mentha viridis	L
4063	d2e2366914Meyers-1905	Mentha	Mentha aquatica	L
4066	d2e2367207Meyers-1905	Mentzelĭa	Bartonia aurea	Lindl
4069	d2e2367207Meyers-1905	Mentzelĭa	B. ornata	Nutt
4070	d2e2367435Meyers-1905	Menўanthes	Menўanthes trifoliata	L
4071	d2e2368472Meyers-1905	Mercuriālis	Mercuriālis annua	L
4072	d2e2372312Meyers-1905	Mertensĭa	Mertensĭa dichotoma	Hook
4073	d2e2373335Meyers-1905	Mesembrianthĕmum	Mesembrianthĕmum emardicum	Thbg
4074	d2e2373335Meyers-1905	Mesembrianthĕmum	Mesembrianthĕmum crystallinum	L
4075	d2e2373335Meyers-1905	Mesembrianthĕmum	Mesembrianthĕmum edule	L
4076	d2e2373335Meyers-1905	Mesembrianthĕmum	Mesembrianthĕmum geniculiflorum	L
4077	d2e2373335Meyers-1905	Mesembrianthĕmum	Mesembrianthĕmum Tripolium	L
4078	d2e2374635Meyers-1905	Mespĭlus	Mespĭlus germanica	L
4079	d2e2374635Meyers-1905	Mespĭlus	Mespĭlus (Crataegus) Azarolus	L
4080	d2e2374635Meyers-1905	Mespĭlus	Mespĭlus (Crataegus) Oxyacantha	L
4081	d2e2374635Meyers-1905	Mespĭlus	Mespĭlus (Crataegus) monogyna	Jacq
4082	d2e2377590Meyers-1905	Mesŭa	Mesŭa ferrea	L
4083	d2e2386435Meyers-1905	Metrosidēros	Metrosidēros robusta	Cumingh
4084	d2e2386435Meyers-1905	Metrosidēros	Metrosidēros scandens	Banks
4085	d2e2386524Meyers-1905	Metroxўlon	Metroxўlon laeve	Mart
4086	d2e2386524Meyers-1905	Metroxўlon	Sagus laevis	Rumph), ein
4086	d2e2386524Meyers-1905	Metroxўlon	Sagus laevis	Rumph), ein
4087	d2e2386524Meyers-1905	Metroxўlon	Metroxўlon Rumphii	Mart
4088	d2e2386524Meyers-1905	Metroxўlon	Sagus Rumphii	Willd
4089	d2e2387852Meyers-1905	Mēum	Mēum athamanticum	Jacq
4090	d2e2388751Meyers-1905	Mexiko [1]	Coccus cacti	L
4093	d2e2393913Meyers-1905	Microsporon	Sporotrichum	
4094	d2e2393913Meyers-1905	Microsporon	Microsporon Audouini	Gruby
4095	d2e2393913Meyers-1905	Microsporon	Microsporon mentagrophytes	Hob
4095	d2e2393913Meyers-1905	Microsporon	Microsporon mentagrophytes	Hob
4096	d2e2393913Meyers-1905	Microsporon	Microsporon furfur	Bob
4096	d2e2393913Meyers-1905	Microsporon	Microsporon furfur	Bob
4097	d2e2395179Meyers-1905	Miesmuschel	Mytilus edulis	L
4098	d2e2396326Meyers-1905	Mikanĭa	Mikanĭa scandens	W
4099	d2e2396326Meyers-1905	Mikanĭa	Mikanĭa officinalis	Mart
4100	d2e2398709Meyers-1905	Milben	Trombididae	
4101	d2e2398709Meyers-1905	Milben	Trombidium holosericeum	L
4102	d2e2398709Meyers-1905	Milben	T. tinctorium	Fabr
4103	d2e2398709Meyers-1905	Milben	Tetranychus telarius	L
4104	d2e2398709Meyers-1905	Milben	Leptus autumnalis	Ant
4105	d2e2398709Meyers-1905	Milben	Phytoptidae	
4106	d2e2398709Meyers-1905	Milben	Phytoptus vitis	Land
4107	d2e2398709Meyers-1905	Milben	Hydrachnidae	Sund
4108	d2e2398709Meyers-1905	Milben	Gamasidae	Gerst
4109	d2e2398709Meyers-1905	Milben	Gamasus coleoptratorum	L
