	EntryID	Headword	title source
3876	d2e672681Meyers-1905	Conway [2]	Climber's guide to the Central and Eastern Pennine Alps
3877	d2e672681Meyers-1905	Conway [2]	The Alps from end to end
3878	d2e672940Meyers-1905	Cook [2]	A voyage towards the south pole and round the world, performed in His Majesty's ships the Resolution and Adventure, in the years
3879	d2e672940Meyers-1905	Cook [2]	A voyage round the world etc. by George Forster
3880	d2e673196Meyers-1905	Coomans	Richilde ou épisodes de l'histoire de la Flandre an XI. siècle
3881	d2e673196Meyers-1905	Coomans	Jeanne Goetgebuer, chronique brabançonne du XIV. siècle
3882	d2e673196Meyers-1905	Coomans	La bourse et le chapeau de Fortunatus, roman philosophique
3883	d2e673281Meyers-1905	Cooper [2]	Lectures on the principles and practice of surgery
3884	d2e673281Meyers-1905	Cooper [2]	The wept of Wishton-Wish«, »The Water-witch«, »The two admirals«, »The sea lions«, »The ways of the hour
3885	d2e673281Meyers-1905	Cooper [2]	Upside down, or philosophy in petticoats
3886	d2e673281Meyers-1905	Cooper [2]	The history of the American navy
3887	d2e673281Meyers-1905	Cooper [2]	Ideas for a science of good government, in addresses, letters and articles on a strictly national currency, tariff and civil service
3888	d2e673281Meyers-1905	Cooper [2]	Drawingbook of animals and rustic groups
3889	d2e673461Meyers-1905	Coornhert	Recht ghebruyck ende misbruyck van tydliche have
3890	d2e673632Meyers-1905	Cope	Reminiscences of Charles West C., by his son
3891	d2e673632Meyers-1905	Cope	The vertebrate palaeontology of New Mexico
3892	d2e673632Meyers-1905	Cope	The Vertebrata of the cretaceous formation, of the palaeozoic and mesozoic formations and of the tertiary formation
3893	d2e673632Meyers-1905	Cope	Synopsis of the extinct Batrachia and Reptilia of North America
3894	d2e673632Meyers-1905	Cope	Origin of the fittest; essays on evolution
3895	d2e673866Meyers-1905	Copland	Outlines of pathology and practical medicine
3896	d2e673866Meyers-1905	Copland	On the diseases of warm climates
3897	d2e673909Meyers-1905	Copley	A sketch of the life of C
3898	d2e673946Meyers-1905	Coppée	Dans la prière et dans la lutte
3899	d2e673946Meyers-1905	Coppée	François C., l'homme, la vie et l'œuvre
3900	d2e674113Meyers-1905	Coppet	Genève et les rives du Léman
3901	d2e674130Meyers-1905	Coppi	Sulle servitú e libera proprietà dei fondi
3902	d2e674130Meyers-1905	Coppi	Sulle finanze di Roma nei secoli di mezzo
3903	d2e674130Meyers-1905	Coppi	Continuazione degli Annali d'Italia del Muratori dal
3904	d2e674446Meyers-1905	Coquerel	Réponse an livre du docteur Strauss; La vie de Jésus
3905	d2e674681Meyers-1905	Cora, Guido	Ricerche storiche ed archeologiche sul sito d'Auaris
3906	d2e674890Meyers-1905	Corbeil	Histoire de la ville de C
3907	d2e674967Meyers-1905	Corbie	Examen critique des chartes Merovingiennes et Carolingiennes de l'abbaye de C
3908	d2e675257Meyers-1905	Corda [2]	Corde à jour (C. à vide
3909	d2e675399Meyers-1905	Cordeiro	De la part prise par les Portugais dans la découverte de l'Amerique
3910	d2e675850Meyers-1905	Córdoba [3]	Cronica del gran capitano G. F. de C
3911	d2e676134Meyers-1905	Corelli	Temporal power, a study in supremacy
3912	d2e676609Meyers-1905	Coriolāno	Vite de' pittori, scultori ed architetti
3913	d2e676932Meyers-1905	Cormontaigne	Architecture militaire, par un officier de distinction
3914	d2e677142Meyers-1905	Corneille	Agésilas«, »Attila«, »Tite et Bérénice«, »Psyché«, »Pulchérie
3915	d2e677142Meyers-1905	Corneille	Discours du poème dramatique, de la tragédie, des trois unités
3916	d2e677142Meyers-1905	Corneille	Histoire de la vie et des ouvrages de P. C
3917	d2e677142Meyers-1905	Corneille	Points obscurs et nouveaux de la vie de C
3918	d2e677142Meyers-1905	Corneille	P. C. et le théâtre espagnol
3919	d2e677142Meyers-1905	Corneille	Observations sur les remarques de Vaugelas
3920	d2e677142Meyers-1905	Corneille	Thomas C., sa vie et son théâtre
3921	d2e677624Meyers-1905	Cornēto Tarquinĭa	Notizie storiche archeologiche di Tarquinia e Corneto
3922	d2e677740Meyers-1905	Cornides	Regum Hungariae, qui saeculo XI. regnavere, genealogia
3923	d2e677981Meyers-1905	Cornn [2]	Ballades et chants populaires de l'Allemagne
3924	d2e677981Meyers-1905	Cornn [2]	Sur le spectre normal du soleil, partie ultraviolette
3925	d2e677981Meyers-1905	Cornn [2]	Mémoires relatifs à la nouvelle maladie de la vigne
3926	d2e678632Meyers-1905	Coronādo	Paquita«, »La luz del Taj o«, »Adoracion
