	EntryID	Headword	Origin language	Lemma synonym
2190	d2e143044Meyers-1905	Antīqua	engl	Roman type
2192	d2e143094Meyers-1905	Antiquar	lat	Antiquarius
2193	d2e143158Meyers-1905	Antiquieren	lat	antiquus
2215	d2e144191Meyers-1905	Anton	franz	Antoine
2259	d2e147174Meyers-1905	Apanage	neulat	apanagium
2266	d2e147354Meyers-1905	Apatít	griech	apatan
2270	d2e147600Meyers-1905	Apennīn	ital	Apennino
2270	d2e147600Meyers-1905	Apennīn	lat	Apenninus
2272	d2e147740Meyers-1905	Aper	lat	apertus
2274	d2e147794Meyers-1905	Aperĭentia	lat	Aperitiva
2277	d2e147904Meyers-1905	a peso	ital	al peso
2278	d2e147925Meyers-1905	Apetālen	lat	Apetalae
2343	d2e151676Meyers-1905	Aposiopēsis	lat	Reticentia
2363	d2e152543Meyers-1905	Apostrophe	lat	Aversio
2369	d2e152986Meyers-1905	Apotheōse	lat	Consecratio
2376	d2e153225Meyers-1905	Appareille	franz	appareil
2379	d2e153351Meyers-1905	Appel comme d'abus	lat	Appellatio tamquam ab
2380	d2e153373Meyers-1905	Appell	franz	appel
2403	d2e154227Meyers-1905	Appoint	ital	Appunto
2430	d2e155259Meyers-1905	April	lat	Aprīlis
2435	d2e155518Meyers-1905	Apsis	mittellat	absîda
2441	d2e155836Meyers-1905	Apulĭen	ital	le Puglie
2447	d2e156152Meyers-1905	Aquädukt	lat	aquaeductio aquaeductus
2452	d2e156331Meyers-1905	Aquarellmalerei	franz	Peinture à l
2452	d2e156331Meyers-1905	Aquarellmalerei	ital	Acquerello
2452	d2e156331Meyers-1905	Aquarellmalerei	engl	Painting in water
2458	d2e156630Meyers-1905	Aqua Tofāna	ital	Acquetta di Napoli
2459	d2e156667Meyers-1905	Äquātor	lat	aequare
2463	d2e156892Meyers-1905	à quatre	ital	a quattro
2464	d2e156918Meyers-1905	Aquavīt	lat	aqua vitae
2469	d2e157159Meyers-1905	Aquilēge	lat	Aquilex
2470	d2e157253Meyers-1905	Äquilibrismus	lat	aequilibrium
2471	d2e157274Meyers-1905	Äquilibristen	lat	aequilibrium
2485	d2e157986Meyers-1905	Ära	lat	aes
2495	d2e159930Meyers-1905	Arâf	arab	a râf
2515	d2e160993Meyers-1905	Aranyos	lat	Crisola
2520	d2e161251Meyers-1905	Ärār	lat	aes
2532	d2e162069Meyers-1905	Arbeit [2]	mittelhochd	arebeit
2538	d2e163314Meyers-1905	Arbeitseinstellung	engl	Strike
2538	d2e163314Meyers-1905	Arbeitseinstellung	franz	Grève
2577	d2e165980Meyers-1905	Archers	lat	Arciarii
2605	d2e168805Meyers-1905	Archīv	griech	archeion
2605	d2e168805Meyers-1905	Archīv	lat	archium archivum chartarium
2638	d2e170797Meyers-1905	Aremorĭca	kelt	are mor
2648	d2e171342Meyers-1905	Areopāg	griech	Areios pagos
2657	d2e172072Meyers-1905	Argēer	lat	Argeï
2701	d2e175055Meyers-1905	Arĭe	ital	Aria
2701	d2e175055Meyers-1905	Arĭe	engl	Air
2705	d2e175158Meyers-1905	Arĭer	sanskrit	ârya
2725	d2e177230Meyers-1905	Arkade	lat	arcus
2755	d2e178730Meyers-1905	Armarĭum	franz	armoire
2759	d2e178885Meyers-1905	Armbrust	lat	Arbalista Arcubalista
2760	d2e178952Meyers-1905	Armee	mittellat	armata
2761	d2e179149Meyers-1905	Ärmelmeer	franz	la Manche
2782	d2e181393Meyers-1905	Armschienen	franz	Brassards
2797	d2e182386Meyers-1905	Arno [2]	lat	Arnus
2822	d2e184652Meyers-1905	Arrest [1]	mittellat	arrestum
2822	d2e184652Meyers-1905	Arrest [1]	lat	ad
2833	d2e185330Meyers-1905	Arrieregarde	franz	arrière garde
2866	d2e187659Meyers-1905	Art [1]	lat	species
2910	d2e190156Meyers-1905	Artischocke	ital	articiocco
2937	d2e191707Meyers-1905	Arzt	griech	archiāter
2937	d2e191707Meyers-1905	Arzt	lat	Medicus
2947	d2e192652Meyers-1905	Asbest	griech	asbéstos
2952	d2e193267Meyers-1905	Aschanti	engl	Ashantee
2960	d2e193892Meyers-1905	Aschersleben	lat	Ascania
2977	d2e194927Meyers-1905	Asen	altnord	Aesir
3038	d2e200366Meyers-1905	Aspik	franz	Gelée d aspic
3068	d2e201991Meyers-1905	Assiénto	span	asiento
3070	d2e202046Meyers-1905	Assignaten	franz	Assignats
