	EntryID	Headword	term	title translation
161	d2e74792Meyers-1905	Algen	Ausnahmen 	Batrachospermum, Lemanea
162	d2e75320Meyers-1905	Algerĭen	Sebuse 	Rubricatus
163	d2e75320Meyers-1905	Algerĭen	Zwergpalmen 	Chamaerops humilis
164	d2e75320Meyers-1905	Algerĭen	Alten 	giallo antico
165	d2e75320Meyers-1905	Algerĭen	Obrigkeiten 	bureaux arabes
166	d2e76123Meyers-1905	Algīnsäure	Meeresalgen 	Laminaria
167	d2e76271Meyers-1905	Algonkische Formation	Korallen 	Archaeocyathus
168	d2e78002Meyers-1905	Alk	Alken 	Alcidae
169	d2e80837Meyers-1905	Allen [2]	Freiheitsbewegung 	free-soll movement
170	d2e81564Meyers-1905	Allĭa	Juli 	dies Alliensis
171	d2e83467Meyers-1905	Alluvion	Land 	alluvio
172	d2e85373Meyers-1905	Aloetaler	Aloe 	Agave
173	d2e85801Meyers-1905	Alp [2]	weiblichen 	Succuba
174	d2e86034Meyers-1905	Alpen [2]	Schneehuhn 	Lagopus albus
175	d2e86034Meyers-1905	Alpen [2]	Bartgeier 	Gypactos barbatus
176	d2e86034Meyers-1905	Alpen [2]	Erdsalamander 	Salamandra atra
177	d2e86034Meyers-1905	Alpen [2]	Gletscherfloh 	Desoria glacialis
178	d2e87496Meyers-1905	Alpenpflanzen	Latsche 	Pinus montana
179	d2e87496Meyers-1905	Alpenpflanzen	Oberhäutchen 	cuticula
180	d2e87496Meyers-1905	Alpenpflanzen	Wiesenklee 	Trifolium repens
181	d2e87496Meyers-1905	Alpenpflanzen	Gamander 	Teucrium Scorodonia
182	d2e87496Meyers-1905	Alpenpflanzen	Jakobskraut 	Senecio Jakobaea
183	d2e89005Meyers-1905	Alse	Heringe 	Clupeidae
184	d2e89570Meyers-1905	Alt [2]	Fistelstimme 	alti naturali
185	d2e89570Meyers-1905	Alt [2]	Bratsche 	Alto
186	d2e89894Meyers-1905	Altar [2]	Baldachin 	ciborium
187	d2e95870Meyers-1905	Alvĕus derelictus	Fluß 	flumen publicum
188	d2e97183Meyers-1905	Amānus	Chanzir 	Promontorium Rhosicum
189	d2e98308Meyers-1905	Amazonen	Halle 	Stoa Poikile
190	d2e99172Meyers-1905	Ambĭtus	umherzugehen 	ambire
191	d2e99172Meyers-1905	Ambĭtus	Stellen 	ambitus ecclesiasticus
192	d2e99513Meyers-1905	Amboise [1]	Castrum 	Ambacia
193	d2e100304Meyers-1905	Ameisen	Waldameise 	Formica rufa
194	d2e100304Meyers-1905	Ameisen	Holzameise 	Camponotos ligniperda
195	d2e100304Meyers-1905	Ameisen	Amazonenameise 	Polyergus
196	d2e100304Meyers-1905	Ameisen	Blattläuse 	Aphis
197	d2e100304Meyers-1905	Ameisen	Pantherfelle 	Tschita
198	d2e100304Meyers-1905	Ameisen	Holzameise 	Lasius fuliginosus
199	d2e100657Meyers-1905	Ameisenbeutler	Ameisenbeutler 	Myrmecobiidae
200	d2e100697Meyers-1905	Ameisenfresser	Ameisenfresser 	Myrmecophagidae
201	d2e100749Meyers-1905	Ameisengäste	Holzameise 	Lasius fuliginosus
202	d2e100749Meyers-1905	Ameisengäste	Hügelameise 	Formica rufa
203	d2e100749Meyers-1905	Ameisengäste	Blattkäfers 	Clythra quadrimaculata
204	d2e100895Meyers-1905	Ameisenlöwe	Ameisenlöwen 	Myrmecoleontidae
205	d2e101514Meyers-1905	Amenorrhöe	angeboren 	Amenorrhoea primaria, organica
206	d2e101514Meyers-1905	Amenorrhöe	erworben 	A. secundaria, Suppressio mensium
207	d2e102443Meyers-1905	Amerikanische Altertümer	Doppelflaschen 	sifladores
208	d2e105387Meyers-1905	Ammonĭak	Ammoniakflüssigkeit 	Liquor Ammonii caustici
209	d2e106767Meyers-1905	Amöben	Menschen 	Amoeba coli
210	d2e107314Meyers-1905	Amortisation	Summe 	summa pragmatica
211	d2e108120Meyers-1905	Amphibĭen	versteckt 	Proteus
212	d2e108120Meyers-1905	Amphibĭen	Salamandern 	Spelerpes, Salamandrina, Desmognathus
213	d2e108120Meyers-1905	Amphibĭen	Froschlurche 	Aglossa
214	d2e108120Meyers-1905	Amphibĭen	Fühlerwühle 	Ichthyophys
215	d2e108120Meyers-1905	Amphibĭen	Lochwühle 	Siphonops
216	d2e108870Meyers-1905	Amphióxus lanceolātus	Rückensaite 	chorda dorsalis
217	d2e109084Meyers-1905	Amphitheater	Senatoren 	cavea prima
218	d2e109084Meyers-1905	Amphitheater	Ritter 	cavea media
219	d2e109084Meyers-1905	Amphitheater	Volkes 	cavea summa
220	d2e109084Meyers-1905	Amphitheater	Sitzreihen 	gradationes
221	d2e109084Meyers-1905	Amphitheater	Pforten 	vomitoria
222	d2e109084Meyers-1905	Amphitheater	Korridore 	cunei
223	d2e109084Meyers-1905	Amphitheater	Tücher 	velarii
224	d2e110069Meyers-1905	Amsterdam [2]	Kulturgesellschaften 	landbouw-maatschappijen
225	d2e110069Meyers-1905	Amsterdam [2]	Mädchen 	Industrieschool voor de vrouwelijke jeugd
226	d2e111163Meyers-1905	Amulett	Koralle 	Gorgonia antipathes
227	d2e113589Meyers-1905	Analogīe	Fall 	ubi eadem ratio legis, ibi eadem dispositio
228	d2e113589Meyers-1905	Analogīe	ist 	nulla poena sine lege
229	d2e114760Meyers-1905	Anamirta	Stengel 	Putra walli
230	d2e115116Meyers-1905	Ananaskrankheit	Pilz 	Thielaviopsis
231	d2e115554Meyers-1905	Anarchismus	Volksbank 	banque d'échange, banque du peuple
232	d2e115554Meyers-1905	Anarchismus	1891	Loi portant répression de la provocation à commettre des crimes ou des délits
233	d2e115554Meyers-1905	Anarchismus	Anschläge 	menées anarchistiques
234	d2e115554Meyers-1905	Anarchismus	Notdekret 	provvedimenti politici
235	d2e116878Meyers-1905	Anatozismus	Jahres 	Anatocismus anniversarius
236	d2e117591Meyers-1905	Ancīle	ähnliche 	ancilia
237	d2e118005Meyers-1905	Andalusien	Sevilla 	Italica
238	d2e118129Meyers-1905	Andamanen	Mahagonibaum 	Pterocarpus dalbergioides
239	d2e118315Meyers-1905	Andelang	Hand 	manus vestita
240	d2e119490Meyers-1905	Andover	Stadt 	municipal borough
241	d2e120368Meyers-1905	Andrīas Scheuchzēri	Riesensalamander 	Cryptobranchus
242	d2e120958Meyers-1905	Andropōgon	Fensterschirmen 	vissaries
243	d2e121346Meyers-1905	Änēas	Stammgott 	Jupiter indiges
244	d2e121688Meyers-1905	Anemōne	weißen 	Honorine Jobert
245	d2e122489Meyers-1905	Anfechtung	Klage 	actio Pauliana
246	d2e123725Meyers-1905	Angelsachsen	Hufen 	hydes
247	d2e123725Meyers-1905	Angelsachsen	Rechts 	common law
248	d2e125123Meyers-1905	Anglikanische Kirche	Diakonen 	deacons
249	d2e125123Meyers-1905	Anglikanische Kirche	Kapitel 	chapter
250	d2e125123Meyers-1905	Anglikanische Kirche	Dekan 	dean
251	d2e125123Meyers-1905	Anglikanische Kirche	Chorherren 	canons
252	d2e125123Meyers-1905	Anglikanische Kirche	Domherren 	prebendaries
253	d2e125123Meyers-1905	Anglikanische Kirche	Archidiakonen 	archdeacons
254	d2e125123Meyers-1905	Anglikanische Kirche	Pfarreien 	benefices, livings
255	d2e125123Meyers-1905	Anglikanische Kirche	Besetzungsrecht 	advowson
256	d2e125123Meyers-1905	Anglikanische Kirche	Pfründner 	incumbents
257	d2e125123Meyers-1905	Anglikanische Kirche	Pfarrlandes 	glebe
258	d2e125123Meyers-1905	Anglikanische Kirche	Hilfsgeistliche 	stipendiary curates
259	d2e125123Meyers-1905	Anglikanische Kirche	Hand 	plurality
260	d2e125123Meyers-1905	Anglikanische Kirche	Geistlichkeit 	proctors
261	d2e125123Meyers-1905	Anglikanische Kirche	Kirchensteuer 	church rate
262	d2e125123Meyers-1905	Anglikanische Kirche	Annaten 	first fruits
263	d2e125123Meyers-1905	Anglikanische Kirche	Partei 	High Church Party
264	d2e125549Meyers-1905	Angōla [2]	Lilien 	Vellosia
265	d2e125703Meyers-1905	Angōra [2]	Gelbbeeren 	Rhamnus tinctorius
266	d2e126176Meyers-1905	Angrivarĭer	Angern 	Angrarii
267	d2e126577Meyers-1905	Angusticlavĭi	Purpurstreifen 	angustus clavus
268	d2e127528Meyers-1905	Anilīn	Indigo 	Anil
269	d2e129550Meyers-1905	Anklageprozeß	Anklagebehörde 	director of public prosecutions
270	d2e129550Meyers-1905	Anklageprozeß	Ankläger 	Lord Advocate
271	d2e130025Meyers-1905	Anlage	Papier 	tabula rasa
272	d2e131145Meyers-1905	Annālen	ὧροι 	horoi
