	EntryID	Headword	sogenannt
136	d2e1748480Meyers-1905	Jerusālem	Via dolorosa
137	d2e1748480Meyers-1905	Jerusālem	Via dolorosa
138	d2e1749055Meyers-1905	Jerusalem-Stiftung, Evangelische	Dormitio S. Mariae
139	d2e1758087Meyers-1905	Johanniterorden	Juris patronatus
140	d2e1769867Meyers-1905	Juliānus	Edictum perpetuum
141	d2e1773702Meyers-1905	Juno	Nonae Caprotinae
142	d2e1773948Meyers-1905	Jupĭter [1]	Lapis manalis
143	d2e1833150Meyers-1905	Karlssage	Bibliothèque bleue
144	d2e1846111Meyers-1905	Kastellān	Slachta
145	d2e1847435Meyers-1905	Kasuistik	Casus conscientiae
146	d2e1854000Meyers-1905	Kauf [1]	emtio rei speratae
147	d2e1854000Meyers-1905	Kauf [1]	emtio spei
148	d2e1869253Meyers-1905	Kerāmik	terra invetriata
149	d2e1892382Meyers-1905	Kirchenhoheit	sacra externa
150	d2e1893547Meyers-1905	Kirchenstaat	Patrimonium Petri
151	d2e1903306Meyers-1905	Klausel	Clausula rebus sic stantibus
152	d2e1913287Meyers-1905	Kloāke	Cloaca maxima
153	d2e1962832Meyers-1905	Konkordĭenformel	Affirmativa
154	d2e1974383Meyers-1905	Konzért	concerto grosso
155	d2e2012531Meyers-1905	Kreuz [1]	titulus
156	d2e2015915Meyers-1905	Kricket	bails
157	d2e2065758Meyers-1905	Labourdonnais	Chambre introuvable
158	d2e2067141Meyers-1905	La Chaussée	comédie larmoyante
159	d2e2072241Meyers-1905	Lafontaine	vers libres
160	d2e2075463Meyers-1905	Lähmung	Dementia paralytica
161	d2e2076347Meyers-1905	Lainé	Chambre introuvable
162	d2e2083560Meyers-1905	Lanciers	Quadrille à la cour
163	d2e2098287Meyers-1905	Lansdowne	Lansdowne Act
164	d2e2107823Meyers-1905	Latīner	Latini Juniani
165	d2e2107823Meyers-1905	Latīner	Latium adjectum
166	d2e2121504Meyers-1905	Lebensversicherung	Assessment Societies
167	d2e2134007Meyers-1905	Leibeigenschaft	obrok
168	d2e2142004Meyers-1905	Lektor	Ordines minores
169	d2e2143086Meyers-1905	Lemnos	Terra Lemnia
170	d2e2146490Meyers-1905	Leonardo	Camera optica
171	d2e2172328Meyers-1905	Liktōren	fasces
172	d2e2193762Meyers-1905	Locle, Le	Moulins souterrains
173	d2e2201107Meyers-1905	London [1]	Livery Companies
174	d2e2204585Meyers-1905	Lope de Vega Carpĭo	Comedia de capa y espada
175	d2e2205739Meyers-1905	Lord	Lords by courtesy
176	d2e2205879Meyers-1905	Lord-Mayors-Tag	Lord-Mayor's Show
177	d2e2211224Meyers-1905	Louisdor	chevalier
178	d2e2223190Meyers-1905	Luftschiffahrt	ballon-sondes
179	d2e2239318Meyers-1905	Lyrik	petite poésie
180	d2e2239318Meyers-1905	Lyrik	poésie fugitive
181	d2e2256338Meyers-1905	Magnetische Kraft	CGS
182	d2e2272901Meyers-1905	Malerei	Boys
183	d2e2282275Meyers-1905	Mandāt	mandatum praesumtum
184	d2e2293375Meyers-1905	Manutĭus	Editiones principes
185	d2e2310542Meyers-1905	Marmor	Nero lucente
