	EntryID	Headword	group
262	d2e2032061Meyers-1905	Krusteneidechse	Spaltzüngler
263	d2e2034351Meyers-1905	Kubomedusen	Akalephen
264	d2e2035064Meyers-1905	Kuckucksvögel	Vögel
265	d2e2048165Meyers-1905	Kupferantimonglanz	Sulfosalze
266	d2e2056862Meyers-1905	Kurzhörner	Zweiflügler
267	d2e2057271Meyers-1905	Kurzzüngler	Eidechsen
268	d2e2066000Meyers-1905	Labradorporphyr	Diabas
269	d2e2080765Meyers-1905	Lamiarĭen	Bockkäfer
270	d2e2081547Meyers-1905	Lämodipoden	Ringelkrebse
271	d2e2096280Meyers-1905	Langhörner	Zweiflügler
272	d2e2100437Meyers-1905	Lappland	uralaltaischen Sprachstammes
273	d2e2111424Meyers-1905	Läufer [3]	Geradflügler
274	d2e2112265Meyers-1905	Laumontīt	Zeolithe
275	d2e2123948Meyers-1905	Lecanōra	Diskolichenen
276	d2e2124371Meyers-1905	Lechrĭodonta	Molche
277	d2e2130393Meyers-1905	Leguane	Dickzüngler
278	d2e2136495Meyers-1905	Leichtschnäbler	Klettervögel
279	d2e2149789Meyers-1905	Leptosphaerĭa	Pyrenomyzeten
280	d2e2152809Meyers-1905	Lessing [2]	Markgrafen
281	d2e2155853Meyers-1905	Leuchtkäfer	Weichkäfer
282	d2e2156852Meyers-1905	Leucitīt	Basalte
283	d2e2156889Meyers-1905	Leucitophyr	Phonoliths
284	d2e2157702Meyers-1905	Leukophyr	Diabas
285	d2e2162215Meyers-1905	Lianen	Zweigklimmer
286	d2e2187993Meyers-1905	Litzner	Seehörner
287	d2e2193066Meyers-1905	Lock	Dädalos
288	d2e2193066Meyers-1905	Lock	Kreuzabnahme
289	d2e2203195Meyers-1905	Long Island	Hebriden
290	d2e2209082Meyers-1905	Loteen	Schmetterlingsblütler
291	d2e2229591Meyers-1905	Lungenschnecken	Schnecken
292	d2e2236397Meyers-1905	Lycopersĭcum	Solanazeengattung
293	d2e2239930Meyers-1905	Lyskamm	Monte
294	d2e2246166Meyers-1905	Macropŏda	Beuteltiere
295	d2e2258865Meyers-1905	Magnussen	Kurfürsten
296	d2e2261408Meyers-1905	Mähren	Polauer
297	d2e2265096Meyers-1905	Maipure	Arowaken
298	d2e2272201Meyers-1905	Mal de cadēras	Trypanosomen
299	d2e2293727Meyers-1905	Manzel	Kurfürsten
300	d2e2299779Meyers-1905	Marīa [3]	Ahasverus
301	d2e2323080Meyers-1905	Massachusetts	Neuenglandstaaten
302	d2e2326958Meyers-1905	Mastigamoeba	Flagellaten
303	d2e2326972Meyers-1905	Mastigophŏra	Protozoen
304	d2e2342826Meyers-1905	Mecodonta	Molche
305	d2e2351274Meyers-1905	Megastŏma intestinale	Flagellaten
306	d2e2358322Meyers-1905	Melĭazeen	Cedreleen
307	d2e2359330Meyers-1905	Melitophilen	Blatthornkäfer
308	d2e2363275Meyers-1905	Menelāos	Künstlers
309	d2e2364753Meyers-1905	Menorea	Balearen
310	d2e2365017Meyers-1905	Mensch	Raubtiere
311	d2e2381168Meyers-1905	Metaplasīe	Bindegewebssubstanzen
312	d2e2391435Meyers-1905	Mfumbiro	Virungaberge
313	d2e2391851Meyers-1905	Miascīt	Syentis
314	d2e2415232Meyers-1905	Minnesota	Staaten
315	d2e2416392Meyers-1905	Mioko	Bismarck
316	d2e2421139Meyers-1905	Mistkäfer	Blatthornkäfer
317	d2e2429794Meyers-1905	Modoc	Klamath
318	d2e2445103Meyers-1905	Monopneumŏnes	Lungenfische
319	d2e2450247Meyers-1905	Monte Rosa	Mischabelhörner
320	d2e2452957Meyers-1905	Mont Perdu	Tres
321	d2e2458766Meyers-1905	Mordwinen	finnischen Völkerfamilie
322	d2e2466560Meyers-1905	Moser	Fischerei
323	d2e2472153Meyers-1905	Mpongwe	Bantusprachen
324	d2e2486943Meyers-1905	Muretto	Monte
325	d2e2501624Meyers-1905	Mysticēte	Wale
326	d2e2515102Meyers-1905	Namonuitoinseln	Karolinen
327	d2e2525881Meyers-1905	Natrolith	Zeolithe
328	d2e2540112Meyers-1905	Neográder Gebirge	innern Karpathenberglandes
329	d2e2541371Meyers-1905	Nephelinbasalt	Basalte
330	d2e2541548Meyers-1905	Nephrīt	Hornblende
331	d2e2546178Meyers-1905	Netscher	Zeitschrift
332	d2e2548303Meyers-1905	Neue Hebriden	Gesellschaftsinseln
333	d2e2555975Meyers-1905	Neutraer Gebirge	Großen
334	d2e2586296Meyers-1905	Nonsberger Alpen	Etschbuchtgebirges
335	d2e2586900Meyers-1905	Nordamerika	Trionychiden
336	d2e2589458Meyers-1905	Norderfehnkanal	ostfriesischen Moorkanäle
337	d2e2591606Meyers-1905	Nordpolarexpeditionen	Neusibirischen
338	d2e2593428Meyers-1905	Norīt	Gabbro
339	d2e2596048Meyers-1905	Norwegen	Horunger
340	d2e2615318Meyers-1905	Oberösterreich	Großen
341	d2e2643781Meyers-1905	Onātas	Helden
342	d2e2644069Meyers-1905	Onēgasee	Olenji
343	d2e2645326Meyers-1905	Ontariosee	Tausend
344	d2e2648273Meyers-1905	Ophĭobolus	Pyrenomyzeten
345	d2e2665974Meyers-1905	Ortler Alpen	südlichen Zuges
346	d2e2666004Meyers-1905	Ortlerīt	Porphyrits
347	d2e2677389Meyers-1905	Ostjaken	uralaltaischen Sprachstammes
348	d2e2688967Meyers-1905	Ozeanĭen	Hawaï
349	d2e2699220Meyers-1905	Palatinīt	Metaphyrs
350	d2e2699538Meyers-1905	Pale [1]	Pentathlon
351	d2e2701827Meyers-1905	Pallasīt	Meteorsteine
352	d2e2702775Meyers-1905	Palmelleen	Protokokkoideen
353	d2e2706974Meyers-1905	Panay	Vizayas
354	d2e2708883Meyers-1905	Panizeen	Gräser
355	d2e2712518Meyers-1905	Panzerschleiche	Kurzzüngler
356	d2e2730425Meyers-1905	Paronychĭeen	Karyophyllazeen
357	d2e2731146Meyers-1905	Parseier Spitze	Lechtaler
358	d2e2740380Meyers-1905	Paternosterinseln	Kleinen
359	d2e2741251Meyers-1905	Patmos	Sporaden
360	d2e2770723Meyers-1905	Perraud	Kindheit
361	d2e2770723Meyers-1905	Perraud	lyrischen Dramas
362	d2e2779602Meyers-1905	Peterhof	Simson
363	d2e2784137Meyers-1905	Petrusbriefe	Katholischen
364	d2e2790402Meyers-1905	Pfeilschwänze	Merostomata
365	d2e2790520Meyers-1905	Pfeilzüngler	Schnecken
366	d2e2793711Meyers-1905	Pflanze	Gefäßkryptogamen
367	d2e2793711Meyers-1905	Pflanze	Cordaiten
368	d2e2795214Meyers-1905	Pflanzenläuse	Halbflügler
369	d2e2801400Meyers-1905	Phaneroglossa	Frösche
370	d2e2808173Meyers-1905	Phillipsīt	Zeolithe
371	d2e2811101Meyers-1905	Phoma	Pyrenomyzeten
372	d2e2811342Meyers-1905	Phönikĭen	semitischen Sprachstammes
373	d2e2818974Meyers-1905	Phyllophăga	Blatthornkäfer
374	d2e2819099Meyers-1905	Phyllosticta	Kernpilze
375	d2e2822937Meyers-1905	Picard	Fünf
376	d2e2827202Meyers-1905	Pijnacker	holländischen Landschaftsmaler
377	d2e2827819Meyers-1905	Pikrītporphyrīt	Diabas
378	d2e2828932Meyers-1905	Pillendreher	Blatthornkäfer
379	d2e2829743Meyers-1905	Pilze	Laboulbeniazeen
380	d2e2829743Meyers-1905	Pilze	Mykomyzeten
381	d2e2831423Meyers-1905	Pinaster	Koniferengattung
382	d2e2841863Meyers-1905	Planarĭen	Strudelwürmer
