	EntryID	Headword	terms	origin
41642	d2e2850341Meyers-1905	Pleorāma	['plein', 'hórāma']	['v. griech']
41649	d2e2850867Meyers-1905	Pleswitz	[]	['vom 4']
41669	d2e2851859Meyers-1905	Plinsen	['blinec', 'bliny']	['vom russ']
41670	d2e2851880Meyers-1905	Plinthe	['plinthos']	['vom griech']
41697	d2e2853908Meyers-1905	Plutokratīe	['plutos']	['v. griech']
41733	d2e2855638Meyers-1905	Pöbel	['populus']	['v. lat']
41750	d2e2856626Meyers-1905	Podesta	['potestas']	['v. lat']
41822	d2e2861819Meyers-1905	Polei	['pulegium', 'pulex']	['v. lat']
41824	d2e2861885Meyers-1905	Polēmik	['pólemos']	['v. griech']
42054	d2e2877452Meyers-1905	Pool	['poule']	['v. franz']
42105	d2e2880485Meyers-1905	Port	['portus']	['v. lat']
42144	d2e2881574Meyers-1905	Porter [1]	['porter']	['v. engl']
42149	d2e2881754Meyers-1905	Portfolĭo	['Portafogli[o]']	['v. ital']
42233	d2e2889261Meyers-1905	Post [3]	['posta', 'posita']	['vom mittellat']
42259	d2e2891464Meyers-1905	Postliminĭum	['limen']	['v. lat']
42403	d2e2898368Meyers-1905	Prado	['pratum']	['v. lat']
42443	d2e2900041Meyers-1905	Präkozität	['praecox']	['v. lat']
42451	d2e2900213Meyers-1905	Prälāt [1]	['praelatus', 'praeferre']	['v. lat']
42520	d2e2902644Meyers-1905	Prater	['prato']	['v. ital']
42569	d2e2904628Meyers-1905	Predigt	['praedicare']	['v. lat']
42596	d2e2906403Meyers-1905	Presidĭos	['praesidium']	['v. lat']
42608	d2e2908183Meyers-1905	Prestidigitateur	['presto', 'digitus']	['vom ital']
42692	d2e2915833Meyers-1905	Prinz	['princeps']	['v. lat']
42801	d2e2921431Meyers-1905	Profīl	['filum']	['v. lat']
42819	d2e2922076Meyers-1905	Prohibitionisten	['prohibition']	['v. engl']
42821	d2e2922113Meyers-1905	Prohibitīvsystem	['prohibere']	['v. lat']
42896	d2e2925088Meyers-1905	Propaganda	['propagare']	[]
42900	d2e2925368Meyers-1905	Propeller	['propellere']	['v. lat']
42942	d2e2927033Meyers-1905	Prosa	['prorsa, sc. oratio']	['v. lat']
43047	d2e2932958Meyers-1905	Prozent	['pre centum', 'pour cent', 'per cento']	['v. lat']
43074	d2e2935061Meyers-1905	Psammŏm	['psámmos']	['v. griech']
43078	d2e2935299Meyers-1905	Pseudo...	['pseudes']	['v. griech']
43191	d2e2942056Meyers-1905	Püik	['puik']	['v. holländ']
43204	d2e2942958Meyers-1905	Pulpe	['Polypus', 'Octopus', 'Lam']	['aus dem griech']
43275	d2e2948973Meyers-1905	Pustel	['pustula']	['v. lat']
43441	d2e2959958Meyers-1905	Quatémber	['quatuor tempora', 'quatempora']	['v. lat']
43452	d2e2960563Meyers-1905	Quebracho	['quebrar', '[h]acha']	['v. span']
43473	d2e2963359Meyers-1905	Quelpart	[]	['vom holländ']
43532	d2e2966579Meyers-1905	Qui mange du pape,en meurt	[]	['vom Papste']
43599	d2e2969028Meyers-1905	Quodlĭbet	['quod libet']	['v. lat']
43626	d2e2970652Meyers-1905	Rabbi [1]	['rab']	['v. hebr']
43658	d2e2972502Meyers-1905	Rachītis	['rhachis']	['v. griech']
43684	d2e2975141Meyers-1905	Radikāl	['radix']	['v. lat']
