	EntryID	Headword	genera
6858	d2e175680Meyers-1905	Arisaema	Arazeen
6859	d2e175719Meyers-1905	Arisarum	Arazeen
6868	d2e175974Meyers-1905	Aristīda	Gramineen
6879	d2e176218Meyers-1905	Aristolochĭa	Aristolochiazeen
6892	d2e176894Meyers-1905	Aristotelĭa	Eläokarpazeen
7015	d2e180491Meyers-1905	Armerĭa	Plumbaginazeen
7079	d2e182169Meyers-1905	Arnĭca	Kompositen
7156	d2e184176Meyers-1905	Arracacĭa	Umbelliferen
7195	d2e185106Meyers-1905	Arrhenathĕrum	Gramineen
7317	d2e188257Meyers-1905	Artemisĭa [1]	Kompositen
7398	d2e190156Meyers-1905	Artischocke	Cynara
7403	d2e190256Meyers-1905	Artocarpus	Morazeen
7424	d2e190817Meyers-1905	Arum	Arazeen
7426	d2e190928Meyers-1905	Aruncus	Rosazeen
7430	d2e191026Meyers-1905	Arundo	Gramineen
7482	d2e192427Meyers-1905	Asaphus	Trilobiten
7487	d2e192510Meyers-1905	Asărum	Aristolochiazeen
7526	d2e193465Meyers-1905	Äsche	Lachse
7565	d2e194280Meyers-1905	Aeschynomene	Leguminosen
7571	d2e194432Meyers-1905	Asclepĭas	Asklepiadazeen
7637	d2e196057Meyers-1905	Asien	Aucella
7704	d2e199346Meyers-1905	Asparăgus	Liliazeen
7726	d2e199878Meyers-1905	Asperŭla	Rubiazeen
7735	d2e200112Meyers-1905	Asphodĕlus	Liliazeen
7737	d2e200232Meyers-1905	Aspidistra	Liliazeen
7740	d2e200330Meyers-1905	Aspidospérma	Apocynazeen
7876	d2e203665Meyers-1905	Aster [1]	Kompositen
7907	d2e204610Meyers-1905	Astilbe	Saxifragazeen
7928	d2e205059Meyers-1905	Astragălus [2]	Leguminosen
7938	d2e205264Meyers-1905	Astrantĭa	Umbelliferen
7943	d2e205447Meyers-1905	Astrocaryum	Palmen
8085	d2e209162Meyers-1905	Athamanta	Umbelliferen
8160	d2e211682Meyers-1905	Aethūsa	Umbelliferen
8308	d2e215809Meyers-1905	Atrĭplex	Chenopodiazeen
8310	d2e215913Meyers-1905	Atrŏpa	Solanazeen
8330	d2e216430Meyers-1905	Attalĕa	Palmen
8444	d2e219089Meyers-1905	Aubrietĭa	Kruziferen
8465	d2e219559Meyers-1905	Aucuba	Kornazeen
8772	d2e226805Meyers-1905	Augentrost	Euphrasia
9450	d2e244585Meyers-1905	Avēna	Gramineen
9470	d2e245085Meyers-1905	Averrhoa	Oxalidazeen
9497	d2e245660Meyers-1905	Avicennĭa	Verbenazeen
9618	d2e248341Meyers-1905	Azalĕa	Rhododendron
9794	d2e253289Meyers-1905	Bachstelze	Sperlingsvögel
9806	d2e253595Meyers-1905	Bacillus	Spaltpilze
9872	d2e255206Meyers-1905	Bactris	Palmen
10068	d2e261052Meyers-1905	Baïf	vers
10380	d2e268384Meyers-1905	Ballett	theatralischen Kunst
10414	d2e269233Meyers-1905	Ballóta	Labiaten
10516	d2e271755Meyers-1905	Bambūsa	Gramineen
10710	d2e277616Meyers-1905	Banksĭa	Proteazeen
10762	d2e278891Meyers-1905	Baphĭa	Leguminosen
10765	d2e278961Meyers-1905	Baptisĭa	Leguminosen
11042	d2e285921Meyers-1905	Bärlapp	Lycopodium
11130	d2e287854Meyers-1905	Barosma	Rutazeen
11704	d2e301512Meyers-1905	Batrachospérmum	Florideen
11886	d2e306449Meyers-1905	Bauhinĭa	Leguminosen
11926	d2e307657Meyers-1905	Baumelster	Rabenvögel
11964	d2e308496Meyers-1905	Baumläufer	Sperlingsvögel
11967	d2e308573Meyers-1905	Baumliest	Klettervögel
11997	d2e309133Meyers-1905	Baumsegler	Segler
12006	d2e309343Meyers-1905	Baumwachtel	Waldhühner
12011	d2e309467Meyers-1905	Baumwolle	Gossypium
12035	d2e310286Meyers-1905	Baur	Tropidurus
12471	d2e323133Meyers-1905	Beggiatōa	Bakterien
12490	d2e323628Meyers-1905	Begonĭa	Begoniazeen
12571	d2e325678Meyers-1905	Beifuß	Artemisia
12665	d2e327596Meyers-1905	Bejarĭa	Erikazeen
12856	d2e333615Meyers-1905	Bellis	Kompositen
13060	d2e338180Meyers-1905	Beninkasa	Kukurbitazeen
13207	d2e342202Meyers-1905	Berbĕris	Berberidazeen
13474	d2e349615Meyers-1905	Bergziege	Horntiere
13641	d2e355207Meyers-1905	Bernsteinschnecke	Lungenschnecken
13699	d2e356744Meyers-1905	Berthollētia	Lecythidiazeen
13975	d2e363612Meyers-1905	Beta	Chenopodiazeen
14180	d2e368349Meyers-1905	Beutelstar	Sperlingsvögel
14289	d2e372201Meyers-1905	Beziehen	Hunde
14485	d2e377553Meyers-1905	Bidens	Kompositen
14544	d2e379120Meyers-1905	Bienenameise	Hautflügler
14642	d2e382029Meyers-1905	Bignonĭa	Bignoniazeen
14757	d2e385842Meyers-1905	Billbergĭa	Bromeliazeen
14965	d2e390142Meyers-1905	Birke	Betulazeen
15236	d2e397021Meyers-1905	Bixa	Bixazeen
15504	d2e403176Meyers-1905	Blätterfische	Stachelflosser
15552	d2e404718Meyers-1905	Blattroller	Rüsselkäfer
15624	d2e406416Meyers-1905	Blauhäher	Raben
15879	d2e411912Meyers-1905	Blighĭa	Sapindazeen
16028	d2e415599Meyers-1905	Blumēa	Kompositen
16082	d2e416682Meyers-1905	Blumen- und Früchtemalerei	Malerei
16601	d2e431777Meyers-1905	Boehmerĭa	Urtikazeen
16660	d2e433489Meyers-1905	Bohrfliege	Fliegen
16870	d2e438646Meyers-1905	Bombardierkäfer	Laufkäfer
16875	d2e438752Meyers-1905	Bombax	Bombakazeen
16897	d2e439261Meyers-1905	Bombyx [1]	Spinner
17300	d2e449934Meyers-1905	Borrāgo	Borraginazeen
17461	d2e454545Meyers-1905	Boswellia	Burserazeen
17500	d2e455949Meyers-1905	Botrychĭum	Ophioglossazeen
17505	d2e456046Meyers-1905	Botrytis	Cordyceps
17568	d2e457581Meyers-1905	Bougainvillea	Nyktaginazeen
17674	d2e460372Meyers-1905	Boussingaultia	Basellazeen
17681	d2e460516Meyers-1905	Bouteloua	Gramineen
17689	d2e460681Meyers-1905	Bouvardĭa	Rubiazeen
17708	d2e461052Meyers-1905	Bovista	Gastromyceten
17712	d2e461170Meyers-1905	Bowdichĭa	Leguminosen
17810	d2e463367Meyers-1905	Brachionus	Rädertiere
17824	d2e463620Meyers-1905	Brachschwalbe	Regenpfeifer
17830	d2e463733Meyers-1905	Brachvogel	Schnepfen
17848	d2e464102Meyers-1905	Brachypodĭum	Gramineen
18081	d2e469713Meyers-1905	Brandt	Klippschliefer
18132	d2e471046Meyers-1905	Brasilien	Bulimus
18143	d2e472455Meyers-1905	Brasse [1]	Karpfen
18150	d2e472709Meyers-1905	Brassĭca	Kruziferen
18607	d2e484837Meyers-1905	Brevis	Mensuralmusik
18760	d2e488666Meyers-1905	Brillenschlange	Prunknattern
18863	d2e491379Meyers-1905	Briza	Gramineen
18964	d2e493674Meyers-1905	Brombeerstrauch	Rosazeen
18969	d2e493818Meyers-1905	Bromēlia	Bromeliazeen
18996	d2e494325Meyers-1905	Bromus	Gramineen
19080	d2e496528Meyers-1905	Brosimum	Morazeen
19125	d2e497688Meyers-1905	Broussonetĭa	Morazeen
19128	d2e497766Meyers-1905	Browallĭa	Skrofulariazeen
19251	d2e502622Meyers-1905	Bruguĭera	Rhizophorazeen
19262	d2e502883Meyers-1905	Brüllaffe	Breitnasen
19299	d2e503843Meyers-1905	Brunfelsĭa	Solanazeen
19359	d2e505456Meyers-1905	Brunswigĭa	Amaryllidazeen
19460	d2e507970Meyers-1905	Brya	Leguminosen
19473	d2e508299Meyers-1905	Bryonĭa	Kukurbitazeen
19474	d2e508354Meyers-1905	Bryophyllum	Krassulazeen
19475	d2e508377Meyers-1905	Bryopōgon	Bartflechten
19496	d2e508763Meyers-1905	Bubalis	Antilopen
19557	d2e511112Meyers-1905	Buche	Fagazeen
19578	d2e511693Meyers-1905	Bücherlaus	Holzläuse
19612	d2e513601Meyers-1905	Buchloe [1]	Gramineen
19662	d2e514628Meyers-1905	Buchweizen	Polygonazeen
19722	d2e516599Meyers-1905	Buddleia	Loganiazeen
20054	d2e524496Meyers-1905	Bunĭas	Kruziferen
20056	d2e524547Meyers-1905	Bunĭum	Umbelliferen
20324	d2e531577Meyers-1905	Bursēra	Burserazeen
20393	d2e533319Meyers-1905	Buschratte	Känguruhs
20469	d2e534939Meyers-1905	Butĕa	Leguminosen
20571	d2e537283Meyers-1905	Buxus	Buxazeen
20606	d2e538398Meyers-1905	Byrsonĭma	Malpighiazeen
20683	d2e540470Meyers-1905	Cacalĭa	Kompositen
20832	d2e543634Meyers-1905	Cajānus	Leguminosen
20842	d2e543855Meyers-1905	Cakīle	Kruziferen
20853	d2e544081Meyers-1905	Caladĭum	Arazeen
20858	d2e544222Meyers-1905	Calamagrostis	Gramineen
20872	d2e544505Meyers-1905	Calămus [2]	Palmen
20901	d2e545133Meyers-1905	Calceolarĭa	Skrofulariazeen
20957	d2e546557Meyers-1905	Calendŭla	Kompositen
20992	d2e547298Meyers-1905	Calla	Arazeen
21001	d2e547474Meyers-1905	Calligŏnum	Polygonazeen
21005	d2e547573Meyers-1905	Callistĕmon	Myrtazeen
21006	d2e547606Meyers-1905	Callistēphus	Kompositen
21009	d2e547670Meyers-1905	Callítris	Koniferen
21014	d2e547830Meyers-1905	Callūna	Erikazeen
21024	d2e548101Meyers-1905	Calophyllum	Guttiseren
21029	d2e548219Meyers-1905	Calothamnus	Myrtazeen
21030	d2e548236Meyers-1905	Calotropis	Asklepiadazeen
21045	d2e548558Meyers-1905	Caltha	Ranunkulazeen
21071	d2e549197Meyers-1905	Calycanthus	Kalykanthazeen
21131	d2e550804Meyers-1905	Camelīna	Kruziferen
21189	d2e552296Meyers-1905	Campanŭla	Kampanulazeen
21211	d2e553036Meyers-1905	Camphŏra	Cinnamomum
21247	d2e553917Meyers-1905	Campsis	Bignoniazeen
21273	d2e554462Meyers-1905	Cananga	Anonazeen
21282	d2e554644Meyers-1905	Canarĭum	Burserazeen
21284	d2e554728Meyers-1905	Canavalĭa	Leguminosen
21313	d2e555448Meyers-1905	Canella	Winterana
21348	d2e556166Meyers-1905	Canna [1]	Kannazeen
21413	d2e557667Meyers-1905	Canthocamptus	Ruderfüßer
21503	d2e559639Meyers-1905	Cappăris	Kapparidazeen
21528	d2e560270Meyers-1905	Capsella	Kruziferen
21529	d2e560299Meyers-1905	Capsĭcum	Solanazeen
21565	d2e561221Meyers-1905	Caragāna	Leguminosen
21571	d2e561371Meyers-1905	Carāpa	Meliazeen
21610	d2e562223Meyers-1905	Cardamīne	Kruziferen
21639	d2e562889Meyers-1905	Cardŭus	Kompositen
21650	d2e563140Meyers-1905	Carex	Cyperazeen
21662	d2e563509Meyers-1905	Carĭca [1]	Karikazeen
21673	d2e563710Meyers-1905	Carinarĭa	Kielfüßer
21694	d2e564207Meyers-1905	Carlīna	Kompositen
21714	d2e564718Meyers-1905	Carludovīca	Cyklamhazeen
21817	d2e567276Meyers-1905	Carpodīnus	Apocynazeen
21886	d2e568854Meyers-1905	Carthămus	Kompositen
21898	d2e569122Meyers-1905	Carum	Umbelliferen
21910	d2e569505Meyers-1905	Carўa	Juglandazeen
21911	d2e569569Meyers-1905	Caryōcar	Karyokarazeen
21914	d2e569664Meyers-1905	Caryophyllus aromaticus	Jambosa
21916	d2e569733Meyers-1905	Caryōta	Palmen
21929	d2e569991Meyers-1905	Caesalpinĭa	Leguminosen
22018	d2e572071Meyers-1905	Cassĭa	Leguminosen
22029	d2e572403Meyers-1905	Cassine	Celastrazeen
22051	d2e572992Meyers-1905	Castanĕa	Fagazeen
22052	d2e573039Meyers-1905	Castanopsis	Fagazeen
22054	d2e573092Meyers-1905	Castănospermum	Leguminosen
22112	d2e574503Meyers-1905	Castillōa	Morazeen
22161	d2e575431Meyers-1905	Casuarīna	Kasuarinazeen
22172	d2e575730Meyers-1905	Catalpa	Bignoniazeen
22205	d2e576413Meyers-1905	Catha	Celastrazeen
22237	d2e577231Meyers-1905	Cattleya	Orchideen
22388	d2e580540Meyers-1905	Ceanōthus	Rhamnazeen
22411	d2e581039Meyers-1905	Cecropĭa	Morazeen
22426	d2e581340Meyers-1905	Cedrēla	Meliazeen
22431	d2e581440Meyers-1905	Cedrus	Koniferen
22437	d2e581612Meyers-1905	Ceiba	Bombakazeen
22445	d2e581838Meyers-1905	Celastrus	Celastrazeen
22449	d2e581910Meyers-1905	Celébes	Phalangista
22473	d2e582666Meyers-1905	Celosĭa	Amarantazeen
22482	d2e582989Meyers-1905	Celtis	Ulmazeen
22516	d2e583774Meyers-1905	Centaurea	Kompositen
22553	d2e584588Meyers-1905	Centranthus	Valerianazeen
22576	d2e585012Meyers-1905	Cephalanthus	Rubiazeen
22580	d2e585089Meyers-1905	Cephalocerĕus	Kakteen
22587	d2e585215Meyers-1905	Cephalotaxus	Koniferen
22607	d2e585684Meyers-1905	Cerastĭum	Karyophyllazeen
22613	d2e585836Meyers-1905	Ceratĭum	Dinoflagellaten
22616	d2e585906Meyers-1905	Ceratonĭa	Leguminosen
22621	d2e586053Meyers-1905	Cerbĕra	Apocynazeen
