	EntryID	Headword	meaning
249	d2e273428Meyers-1905	Banderĭen	Fahne
250	d2e273802Meyers-1905	Banditen	Verbannte
251	d2e273802Meyers-1905	Banditen	Geächtete
252	d2e275137Meyers-1905	Bangkok	Stadt der wilden Obstbäume
253	d2e279039Meyers-1905	Baptisten	Täufer
254	d2e279039Meyers-1905	Baptisten	Tausende
255	d2e279156Meyers-1905	Baptisterĭum	Taufhaus
256	d2e280075Meyers-1905	Baracke	Bauern-
257	d2e280075Meyers-1905	Baracke	Fischerhütte
258	d2e280909Meyers-1905	Barba Jovis	Jupiterbart
259	d2e281416Meyers-1905	Barbecue	vom Maul bis zum Schwanz
260	d2e282880Meyers-1905	Barden [2]	Dichter
261	d2e284480Meyers-1905	Barfüßer	Unbeschuhte
262	d2e284715Meyers-1905	Bar-Hebräus	Sohn des Hebräers
263	d2e284875Meyers-1905	Barīle	Faß
264	d2e287322Meyers-1905	Barometer	Schweremesser
265	d2e287576Meyers-1905	Baron [1]	Mann
266	d2e287576Meyers-1905	Baron [1]	Freigeborner
267	d2e287576Meyers-1905	Baron [1]	Mann
268	d2e289088Meyers-1905	Barrièretraktat	Grenzschutzvertrag
269	d2e292180Meyers-1905	Baruch	der Gesegnete
270	d2e294137Meyers-1905	Baschkiren	Bienenführer
271	d2e294318Meyers-1905	Base [1]	Vatersschwester
272	d2e296641Meyers-1905	Baß	tief
273	d2e296641Meyers-1905	Baß	Grundlage
274	d2e296687Meyers-1905	Bassa [1]	tief
275	d2e297593Meyers-1905	Basso continuo	ununterbrochener Baß
276	d2e300625Meyers-1905	Bathorden	Orden vom Bad
277	d2e301489Meyers-1905	Batrachomachīa	Froschkrieg
278	d2e315287Meyers-1905	Bear [1]	Bär
279	d2e315507Meyers-1905	Beāten	bekehrte Schwestern
280	d2e319567Meyers-1905	Becs-de-corbin	Rabenschnäbel
281	d2e320515Meyers-1905	Bed Pak Dala	Hungerwüste
282	d2e320910Meyers-1905	Beefeaters	Rindfleischesser
283	d2e320990Meyers-1905	Beelzebub	Fliegen-Baal
284	d2e324713Meyers-1905	Behemoth	Vieh
285	d2e330152Meyers-1905	Belgen	Germanien
286	d2e334555Meyers-1905	Belsazar	Bel
287	d2e334555Meyers-1905	Belsazar	schirme den König
288	d2e335434Meyers-1905	Benāres	im Besitz des besten Wassers
289	d2e335549Meyers-1905	Benção de Deos	Gottessegen
290	d2e336163Meyers-1905	Benedicāmus Domino	preisen wir den Herrn!
291	d2e336307Meyers-1905	Benedictus	gebenedeit
292	d2e337351Meyers-1905	Bene vixit, qui bene latuit	glücklich hat gelebt
293	d2e337351Meyers-1905	Bene vixit, qui bene latuit	wer in glücklicher Verborgenheit lebte
294	d2e342496Meyers-1905	Berchta	Glänzende
295	d2e344107Meyers-1905	Bergamotte	Fürst der Birnen
296	d2e344364Meyers-1905	Bergbau	Bergbau : Durchschnitt eines Steinkohlenbergwerks
297	d2e344364Meyers-1905	Bergbau	mit Text
298	d2e344364Meyers-1905	Bergbau	Tafel  u. : Erzbergbau
299	d2e344364Meyers-1905	Bergbau	Tafel  u. : Elektrischer Betrieb
300	d2e349114Meyers-1905	Bergsturz	etwas Zusammengestürztes
301	d2e354641Meyers-1905	Bernstein [1]	Brennstein
302	d2e355956Meyers-1905	Bérserker	Bär
303	d2e355956Meyers-1905	Bérserker	Gewand
304	d2e356195Meyers-1905	Berta	Glänzende
305	d2e357156Meyers-1905	Bertold [1]	der glänzend Waltende
306	d2e361027Meyers-1905	Besemschon	besenrein
307	d2e361228Meyers-1905	Besessene	von einem bösen Geist oder Dämon in Besitz Genommene
308	d2e364333Meyers-1905	Bethlehem [1]	Haus des Brotes
309	d2e372611Meyers-1905	Bezoar	Gegengift
310	d2e372869Meyers-1905	Bhagavad-Gîtâ	das Lied der Gottheit
311	d2e374393Meyers-1905	Bibel	Bücher
312	d2e376004Meyers-1905	Bibliomanīe	Büchersucht
313	d2e376702Meyers-1905	Bibliothèque bleue	blaue Bibliothek
314	d2e382432Meyers-1905	Bijouterien	Kleinod
315	d2e382771Meyers-1905	Bilanz	die Schwebe
316	d2e385116Meyers-1905	Bilfinger	Zwölffinger
317	d2e385572Meyers-1905	Billard	Kugel
318	d2e385572Meyers-1905	Billard	Ball
