	EntryID	Headword	authors
123	d2e1440606Meyers-1905	Gunnēra	['Ruiz  ', 'et  ', 'Pavon, ', '']
124	d2e1446930Meyers-1905	Guttapercha	['Benth. ', 'et  ', 'Hook. ', '']
125	d2e1449972Meyers-1905	Gynerĭum	['Humb. ', 'et  ', 'Bonpl.', '']
126	d2e1449972Meyers-1905	Gynerĭum	['Humb. ', 'et  ', 'Bonpl. ', '']
127	d2e1531366Meyers-1905	Heinitz	['', 'et ', '', '']
128	d2e1537246Meyers-1905	Helĭanthus	['Torr. ', 'et  ', 'Gray ', '']
129	d2e1538422Meyers-1905	Heliotropĭum	['Ruiz  ', 'et  ', 'Par.', '']
130	d2e1539113Meyers-1905	Hellebŏrus	['Waldst. ', 'et  ', 'Kit. ', '']
131	d2e1542459Meyers-1905	Hemĕrocallis	['Trautv. ', 'et  ', 'Mey.', '']
132	d2e1544391Meyers-1905	Henkel	['H. ', 'et  ', 'Hochst. ', '']
133	d2e1589911Meyers-1905	Hochst.	['H. ', 'et  ', 'Hochst.', '']
134	d2e1638207Meyers-1905	Hund [2]	['Brav. ', 'et  ', 'Pomel. ', '']
135	d2e1667902Meyers-1905	Illicĭum	['Hook. fil. ', 'et  ', 'Thoms. ', '']
136	d2e1708246Meyers-1905	Iriartēa	['Ruiz  ', 'et  ', 'Pav.', '']
137	d2e1757219Meyers-1905	Johannisbeerblattbräune	['Montg. ', 'et  ', 'Desm.', '']
138	d2e1783873Meyers-1905	Kaffeebaum	['Berk. ', 'et  ', 'Br.', '']
139	d2e1789285Meyers-1905	Kakaobaum	['H. ', 'et  ', 'Bp.', '']
140	d2e1789285Meyers-1905	Kakaobaum	['Moç. ', 'et  ', 'Sess. ', '']
141	d2e1789285Meyers-1905	Kakaobaum	['Moç. ', 'et  ', 'Sess. ', '']
142	d2e1868178Meyers-1905	Kentĭa	['Ad. Brongn. ', 'et  ', 'Gries ', '']
143	d2e1879296Meyers-1905	Kiefer [2]	['Sieb. ', 'et  ', 'Zucc.', '']
144	d2e1879296Meyers-1905	Kiefer [2]	['Torr. ', 'et  ', 'Fremont ', '']
145	d2e1966690Meyers-1905	Konstantinopel	['', 'et ', '', '']
146	d2e1997817Meyers-1905	Kramerĭa	['Ruiz  ', 'et  ', 'Par.', '']
147	d2e2071560Meyers-1905	Lafayette [2]	['', 'et ', '', '']
148	d2e2080861Meyers-1905	Laminarĭa	['P. ', 'et  ', 'R. ', '']
149	d2e2097000Meyers-1905	Langsd. et Fisch.	['F. ', 'et  ', 'M.', '']
150	d2e2149789Meyers-1905	Leptosphaerĭa	['Ces, ', 'et  ', 'de Not.', '']
151	d2e2154884Meyers-1905	Leuchtenbergĭa	['Fisch. ', 'et  ', 'Hook.', '']
152	d2e2154884Meyers-1905	Leuchtenbergĭa	['Fisch. ', 'et  ', 'Hock. ', '']
153	d2e2183394Meyers-1905	Lirĭosma	['Pöpp. ', 'et  ', 'Endl.', '']
154	d2e2205153Meyers-1905	Lophophўtum	['Schott, ', 'et  ', 'Endl.', '']
