ID	headword	compound
d3e94748DamenConvLex-1834	Monat	Monats
d3e94766DamenConvLex-1834	Mönchswesen	Mönchswesens
d3e94783DamenConvLex-1834	Mond	Mondbergen
d3e94783DamenConvLex-1834	Mond	Mondatmosphäre
d3e94783DamenConvLex-1834	Mond	Monde
d3e94783DamenConvLex-1834	Mond	Mondes
d3e94783DamenConvLex-1834	Mond	Mondfinsterniß
d3e94783DamenConvLex-1834	Mond	Mondenlichte
d3e94783DamenConvLex-1834	Mond	Mondgebirge
d3e94783DamenConvLex-1834	Mond	Mondlicht
d3e94783DamenConvLex-1834	Mond	Mondoberfläche
d3e95074DamenConvLex-1834	Montag	Fastenmontage
d3e95074DamenConvLex-1834	Montag	Montages
d3e95473DamenConvLex-1834	Moose	Laubmoose
d3e95473DamenConvLex-1834	Moose	Lebermoose
d3e95473DamenConvLex-1834	Moose	Laubmoosen
d3e95569DamenConvLex-1834	Moral	Moralphilosophie
d3e95633DamenConvLex-1834	Morcheln	Stockmorcheln
d3e95666DamenConvLex-1834	Morea	Morea's
d3e95908DamenConvLex-1834	Mosaik	Holzmosaik
d3e95908DamenConvLex-1834	Mosaik	Mosaikgemälde
d3e95908DamenConvLex-1834	Mosaik	Mosaik-Kopie
d3e95908DamenConvLex-1834	Mosaik	Marmormosaik
d3e95908DamenConvLex-1834	Mosaik	Mosaiken
d3e96032DamenConvLex-1834	Mosel	Moselthales
d3e96070DamenConvLex-1834	Moskau	Moskau's
d3e96241DamenConvLex-1834	Muhammed	Muhammedaner
d3e96241DamenConvLex-1834	Muhammed	Muhammedanismus
d3e96541DamenConvLex-1834	Münze (Botanik)	Gartenmünze
d3e96541DamenConvLex-1834	Münze (Botanik)	Waldmünze
d3e96541DamenConvLex-1834	Münze (Botanik)	Wassermünze
d3e96541DamenConvLex-1834	Münze (Botanik)	Frauenmünze
d3e96541DamenConvLex-1834	Münze (Botanik)	Krausemünze
d3e96541DamenConvLex-1834	Münze (Botanik)	Pfeffermünze
d3e96541DamenConvLex-1834	Münze (Botanik)	Poleimünze
d3e96572DamenConvLex-1834	Münzen	Goldmünzen
d3e96572DamenConvLex-1834	Münzen	Denkmünzen
d3e96572DamenConvLex-1834	Münzen	Rechnungsmünzen
d3e96572DamenConvLex-1834	Münzen	Zahlungsmünzen
d3e96818DamenConvLex-1834	Muslin	Musline
d3e96854DamenConvLex-1834	Muster	Bogenmustern
d3e96854DamenConvLex-1834	Muster	Stickmuster
d3e96871DamenConvLex-1834	Muth	Muthes
d3e96900DamenConvLex-1834	Mutter	Mutterfreude
d3e96900DamenConvLex-1834	Mutter	Muttergefühl
d3e96900DamenConvLex-1834	Mutter	Mutterlehre
d3e96900DamenConvLex-1834	Mutter	Mutterbrust
d3e96900DamenConvLex-1834	Mutter	Muttervorbild
d3e96900DamenConvLex-1834	Mutter	Mutterliebe
d3e96987DamenConvLex-1834	Myrte	Gewürzmyrte
d3e96987DamenConvLex-1834	Myrte	Myrtenzweigen
d3e96987DamenConvLex-1834	Myrte	Myrtenkränzchen
d3e96987DamenConvLex-1834	Myrte	Nelkenmyrte
d3e97055DamenConvLex-1834	Mythologie	Mythologien
d3e97314DamenConvLex-1834	Nacht	Lebensnacht
d3e97314DamenConvLex-1834	Nacht	Nachtlänge
d3e97314DamenConvLex-1834	Nacht	Nachtzeit
d3e97461DamenConvLex-1834	Nadelgeld	Nadelgeldes
d3e97473DamenConvLex-1834	Nadeln	Stricknadeln
d3e97473DamenConvLex-1834	Nadeln	Stecknadeln
d3e97473DamenConvLex-1834	Nadeln	Nestnadeln
d3e97473DamenConvLex-1834	Nadeln	Nähnadeln
d3e97473DamenConvLex-1834	Nadeln	Haarnadeln
d3e97770DamenConvLex-1834	Narcisse (Botanik)	Dichternarcisse
d3e97843DamenConvLex-1834	Nase	Adlernase
d3e97843DamenConvLex-1834	Nase	Stumpfnasen
d3e97843DamenConvLex-1834	Nase	Nasenhöhle
d3e97843DamenConvLex-1834	Nase	Nasenbildung
d3e97843DamenConvLex-1834	Nase	Habichtsnase
d3e97843DamenConvLex-1834	Nase	Stülpnase
d3e97843DamenConvLex-1834	Nase	Nasen
d3e97964DamenConvLex-1834	Natur	Unnatur
d3e97964DamenConvLex-1834	Natur	Naturmensch
d3e97964DamenConvLex-1834	Natur	Afternatur
d3e97964DamenConvLex-1834	Natur	Pflanzennatur
d3e97964DamenConvLex-1834	Natur	Naturdichter
d3e97964DamenConvLex-1834	Natur	Naturphilosoph
d3e97964DamenConvLex-1834	Natur	Naturlehre
d3e97964DamenConvLex-1834	Natur	Naturgeschichte
d3e98019DamenConvLex-1834	Naturalien	Naturaliensammlungen
d3e98019DamenConvLex-1834	Naturalien	Naturaliencabineten
d3e98034DamenConvLex-1834	Naturdichter	Naturdichterin
d3e98217DamenConvLex-1834	Neapel	Neapels
d3e98314DamenConvLex-1834	Nebel	Abendnebel
d3e98376DamenConvLex-1834	Neckar	Neckarthal
d3e98376DamenConvLex-1834	Neckar	Neckarwein
d3e98428DamenConvLex-1834	Neger	Negerkinder
d3e98428DamenConvLex-1834	Neger	Negerinnen
d3e98607DamenConvLex-1834	Nelke (Botanik)	Bartnelke
d3e98607DamenConvLex-1834	Nelke (Botanik)	Chinesennelke
d3e98607DamenConvLex-1834	Nelke (Botanik)	Federnelke
d3e98607DamenConvLex-1834	Nelke (Botanik)	Nelkenbeete
d3e98607DamenConvLex-1834	Nelke (Botanik)	Gartennnelke
d3e98607DamenConvLex-1834	Nelke (Botanik)	Gartennelke
d3e98833DamenConvLex-1834	Nerven	Stimmnerven
d3e98833DamenConvLex-1834	Nerven	Nervenzweige
d3e98833DamenConvLex-1834	Nerven	Hirnnervenpaar
d3e98833DamenConvLex-1834	Nerven	Halsnervenpaare
d3e98833DamenConvLex-1834	Nerven	Nervenkraft
d3e98833DamenConvLex-1834	Nerven	Nervenpaaren
d3e98833DamenConvLex-1834	Nerven	Nervenschwäche
d3e98833DamenConvLex-1834	Nerven	Nervenknoten
d3e98869DamenConvLex-1834	Nervensystem	Unterleibsnervensystem
d3e98904DamenConvLex-1834	Nessel (Botanik)	Hanfnessel
d3e98904DamenConvLex-1834	Nessel (Botanik)	Eiternessel
d3e98904DamenConvLex-1834	Nessel (Botanik)	Nesselleinwand
d3e98904DamenConvLex-1834	Nessel (Botanik)	Brennnessel
d3e98904DamenConvLex-1834	Nessel (Botanik)	Nesseltuch
d3e99110DamenConvLex-1834	Neuholland	Neuhollands
d3e99133DamenConvLex-1834	Neujahr	Neujahrsgeschenke
d3e99133DamenConvLex-1834	Neujahr	Neujahrswünsche
d3e99133DamenConvLex-1834	Neujahr	Neujahrsnacht
d3e99133DamenConvLex-1834	Neujahr	Neujahrstag
d3e99398DamenConvLex-1834	Niagara	Niagarastrome
d3e99398DamenConvLex-1834	Niagara	Niagarastrom
d3e99452DamenConvLex-1834	Nickel	Kupfernickel
d3e99560DamenConvLex-1834	Nieren	Nierenbecken
d3e99674DamenConvLex-1834	Nil	Nilpferd
d3e99674DamenConvLex-1834	Nil	Nilwasser
d3e99674DamenConvLex-1834	Nil	Nils
d3e99674DamenConvLex-1834	Nil	Niloa
d3e99795DamenConvLex-1834	Niobe (Mythologie)	Niobe's
d3e99883DamenConvLex-1834	Nixen (Mythologie)	Nixenblumen
d3e99883DamenConvLex-1834	Nixen (Mythologie)	Nixensagen
d3e99883DamenConvLex-1834	Nixen (Mythologie)	Nixenmänner
d3e99883DamenConvLex-1834	Nixen (Mythologie)	Nixenjungfrauen
d3e99971DamenConvLex-1834	Nomaden	Nomadenvölker
d3e100122DamenConvLex-1834	Nordlicht	Nordlichter
d3e100122DamenConvLex-1834	Nordlicht	Nordlichts
d3e100199DamenConvLex-1834	Nornen (Mythologie)	Zaubernornen
d3e100199DamenConvLex-1834	Nornen (Mythologie)	Schutznornen
d3e100230DamenConvLex-1834	Norwegen	Norwegens
d3e100300DamenConvLex-1834	Noten (Musik)	Notenschrift
d3e100300DamenConvLex-1834	Noten (Musik)	Notenschlüssel
d3e100300DamenConvLex-1834	Noten (Musik)	Notensystems
d3e100428DamenConvLex-1834	Novelle	Novellendichtern
d3e100428DamenConvLex-1834	Novelle	Novellendichter
d3e100486DamenConvLex-1834	Noviciat	Nnoviciats
d3e100557DamenConvLex-1834	Nudeln	Fadennudeln
d3e100735DamenConvLex-1834	Oase	Oasen
d3e100803DamenConvLex-1834	Object	Objectiv
d3e100824DamenConvLex-1834	Oblaten	Briefoblaten
d3e100824DamenConvLex-1834	Oblaten	Tafeloblaten
d3e100898DamenConvLex-1834	Obst	Kernobst
d3e100898DamenConvLex-1834	Obst	Obstes
d3e100898DamenConvLex-1834	Obst	Wirthschaftsobst
d3e100898DamenConvLex-1834	Obst	Obstgattungen
d3e100898DamenConvLex-1834	Obst	Obstsorten
d3e100898DamenConvLex-1834	Obst	Obstbau
d3e100898DamenConvLex-1834	Obst	Obstkultur
d3e100898DamenConvLex-1834	Obst	Handelsobst
d3e100898DamenConvLex-1834	Obst	Obstarten
d3e100898DamenConvLex-1834	Obst	Tafelobst
d3e100898DamenConvLex-1834	Obst	Obstbaumkundeo
d3e100898DamenConvLex-1834	Obst	Franzobst
d3e100898DamenConvLex-1834	Obst	Obstkunde
d3e100898DamenConvLex-1834	Obst	Obstgärten
d3e100898DamenConvLex-1834	Obst	Obstbaum
d3e100898DamenConvLex-1834	Obst	Obstbaumzucht
d3e100898DamenConvLex-1834	Obst	Obstbaumanpflanzungen
d3e100930DamenConvLex-1834	Occident	Occidentalisches
d3e100992DamenConvLex-1834	Octave (Musik)	Octaven
d3e101006DamenConvLex-1834	Octavia,  Gemahlin des Antonius	Octavian
d3e101053DamenConvLex-1834	Oculiren	Oculirens
d3e101178DamenConvLex-1834	Odin (Mythologie)	Odine
d3e101178DamenConvLex-1834	Odin (Mythologie)	Odinsmythe
d3e101345DamenConvLex-1834	Oel	Oelen
d3e101345DamenConvLex-1834	Oel	Oele
d3e101345DamenConvLex-1834	Oel	Oeles
d3e101373DamenConvLex-1834	Oelbaum	Oelbaumes
d3e101469DamenConvLex-1834	Oestreich (Geographie)	Oestreichs
d3e101649DamenConvLex-1834	Ofen (Haushalt)	Ofenaufsatze
d3e101912DamenConvLex-1834	Ohrringe	Ohrringen
d3e101949DamenConvLex-1834	Oldenburg	Oldenburgs
d3e102089DamenConvLex-1834	Olymp, Olympier	Olympiaden
d3e102089DamenConvLex-1834	Olymp, Olympier	Olymps
d3e102089DamenConvLex-1834	Olymp, Olympier	Olympios
d3e102089DamenConvLex-1834	Olymp, Olympier	Olympier
d3e102240DamenConvLex-1834	Omphale (Mythologie)	Omphale's
d3e102373DamenConvLex-1834	Opal (Mineralien)	Feueropal
d3e102388DamenConvLex-1834	Oper	Operncomponisten
d3e102388DamenConvLex-1834	Oper	Operndarstellung
d3e102388DamenConvLex-1834	Oper	Opernhäuser
d3e102426DamenConvLex-1834	Opfer	Opferkultus
d3e102426DamenConvLex-1834	Opfer	Bittopfer
d3e102426DamenConvLex-1834	Opfer	Trankopfer
d3e102426DamenConvLex-1834	Opfer	Opfern
d3e102426DamenConvLex-1834	Opfer	Dankopfer
d3e102426DamenConvLex-1834	Opfer	Sühnopfer
d3e102426DamenConvLex-1834	Opfer	Rauchopfer
d3e102426DamenConvLex-1834	Opfer	Opfernde
d3e102426DamenConvLex-1834	Opfer	Keuschheitsopfer
d3e102426DamenConvLex-1834	Opfer	Opferdienst
d3e102426DamenConvLex-1834	Opfer	Kinderopfer
d3e102426DamenConvLex-1834	Opfer	Brandopfer
d3e102426DamenConvLex-1834	Opfer	Opfergebräuche
d3e102426DamenConvLex-1834	Opfer	Weiheopfer
d3e102426DamenConvLex-1834	Opfer	Schuldopfer
d3e102426DamenConvLex-1834	Opfer	Speiseopfer
d3e102426DamenConvLex-1834	Opfer	Opfers
d3e102494DamenConvLex-1834	Opium	Opiums
d3e102494DamenConvLex-1834	Opium	Opiumesser
d3e102593DamenConvLex-1834	Orakel	Orakelorte
d3e102593DamenConvLex-1834	Orakel	Orakeln
d3e102639DamenConvLex-1834	Orangerie	Orangeriegewächsen
d3e102639DamenConvLex-1834	Orangerie	Orangeriegewächse
d3e102712DamenConvLex-1834	Oratorium	Oratoriums
d3e102767DamenConvLex-1834	Ordalien oder Gottesgerichte	Gottesgerichten
d3e102828DamenConvLex-1834	Ordnung	Ordnungssinn
d3e102880DamenConvLex-1834	Organ	Organon
d3e102926DamenConvLex-1834	Orgel	Orgelbau
d3e102961DamenConvLex-1834	Orient	Orientalisches
d3e103027DamenConvLex-1834	Orion (Mythologie)	Orion's
d3e103156DamenConvLex-1834	Ormuzd (Mythologie)	Ormuzd's
d3e103253DamenConvLex-1834	Ortolan	Ortolanen
d3e103285DamenConvLex-1834	Osiris (Mythologie)	Osirisbild
d3e103322DamenConvLex-1834	Osmazom	Osmazomchocolade
d3e103352DamenConvLex-1834	Ossian	Ossian's
d3e103352DamenConvLex-1834	Ossian	Ossianischer
d3e103629DamenConvLex-1834	Otter	Fischotter
d3e103629DamenConvLex-1834	Otter	Sumpfotter
d3e103629DamenConvLex-1834	Otter	Meerotter
d3e103629DamenConvLex-1834	Otter	Otterfelle
d3e103661DamenConvLex-1834	Ouverture	Ouverturen
d3e103788DamenConvLex-1834	Padua	Paduaner
d3e103847DamenConvLex-1834	Page	Pagendienst
d3e103847DamenConvLex-1834	Page	Pagen
d3e103930DamenConvLex-1834	Paladin	Paladine
d3e104026DamenConvLex-1834	Palatin (Putz)	Palatine
d3e104067DamenConvLex-1834	Palermo	Palermo's
d3e104271DamenConvLex-1834	Palliativ	Palliativmittel
d3e104298DamenConvLex-1834	Palmen	Palmengeschlechter
d3e104298DamenConvLex-1834	Palmen	Palmenarten
d3e104298DamenConvLex-1834	Palmen	Palmenblüthen
d3e104298DamenConvLex-1834	Palmen	Alpenpalmen
d3e104298DamenConvLex-1834	Palmen	Palmenwelt
d3e104298DamenConvLex-1834	Palmen	Palmenfamilie
d3e104365DamenConvLex-1834	Pampas	Pampasindianer
d3e104390DamenConvLex-1834	Pan (Mythologie)	Pansflöte
d3e104390DamenConvLex-1834	Pan (Mythologie)	Panischer
d3e104562DamenConvLex-1834	Pantalon, auch Pantalone	Pantalone
d3e104624DamenConvLex-1834	Pantoffeln	Klapppantoffeln
d3e104656DamenConvLex-1834	Päonie (Botanik)	Päonienstrauch
d3e104722DamenConvLex-1834	Papier	Papierbedarf
d3e104722DamenConvLex-1834	Papier	Maschinenpapier
d3e104722DamenConvLex-1834	Papier	Baumwollenpapier
d3e104797DamenConvLex-1834	Pappel	Balsampappel
d3e104797DamenConvLex-1834	Pappel	Zitterpappel
d3e104797DamenConvLex-1834	Pappel	Silberpappel
d3e104839DamenConvLex-1834	Papst	Papstwahl
d3e104839DamenConvLex-1834	Papst	Papste
d3e104859DamenConvLex-1834	Papyrus	Papyruspapier
d3e104859DamenConvLex-1834	Papyrus	Papyrusrollen
d3e104915DamenConvLex-1834	Paradies	Paradiese
d3e104994DamenConvLex-1834	Paraguay	Paraguay's
d3e104994DamenConvLex-1834	Paraguay	Paraguaythee
d3e105180DamenConvLex-1834	Paris (Geographie)	Parisern
d3e105180DamenConvLex-1834	Paris (Geographie)	Pariser
d3e105180DamenConvLex-1834	Paris (Geographie)	Parisiorum
d3e105570DamenConvLex-1834	Park	Parkes
d3e105570DamenConvLex-1834	Park	Parks
d3e105888DamenConvLex-1834	Passion	Passionspredigten
d3e105901DamenConvLex-1834	Passionsblume	Passionsblumen
d3e105993DamenConvLex-1834	Pasten	Glaspasten
d3e106008DamenConvLex-1834	Pasteten	Rephühnerpasteten
d3e106008DamenConvLex-1834	Pasteten	Gänseleberpasteten
d3e106031DamenConvLex-1834	Pastinake	Gartenpastinake
d3e106031DamenConvLex-1834	Pastinake	Zuckerpastinake
d3e106220DamenConvLex-1834	Patrizier	Patrizierfamilien
d3e106367DamenConvLex-1834	Pause (Musik)	Pausen
d3e106367DamenConvLex-1834	Pause (Musik)	Taktpausen
d3e106497DamenConvLex-1834	Pedal	Pedalharfe
d3e106811DamenConvLex-1834	Penelope	Penelope's
d3e106916DamenConvLex-1834	Percal (Zeug)	Percals
d3e106916DamenConvLex-1834	Percal (Zeug)	Percal-Halstücher
d3e106946DamenConvLex-1834	Peri (Mythologie)	Peris
d3e107024DamenConvLex-1834	Perlen	Kirschperlen
d3e107024DamenConvLex-1834	Perlen	Lothperlen
d3e107024DamenConvLex-1834	Perlen	Wachsperlen
d3e107024DamenConvLex-1834	Perlen	Perlenbänke
d3e107024DamenConvLex-1834	Perlen	Perlenbänken
d3e107024DamenConvLex-1834	Perlen	Perlenfischerei
d3e107024DamenConvLex-1834	Perlen	Atlasperlen
d3e107024DamenConvLex-1834	Perlen	Zahlperlen
d3e107024DamenConvLex-1834	Perlen	Glasperlen
d3e107024DamenConvLex-1834	Perlen	Perlenessenz
