	EntryID	headword	compound
904	d2e107651Herder-1854	Chalon	Schalong
905	d2e107770Herder-1854	Cham [2]	Chamiten
906	d2e108027Herder-1854	Chamotte	Schamotte
907	d2e108435Herder-1854	Chapelgorris	Tschapelgorris
908	d2e108455Herder-1854	Chapeschiren	schapeschiren
909	d2e108465Herder-1854	Chapetones	Tschapetones
910	d2e108518Herder-1854	Char	Schar
911	d2e108548Herder-1854	Charade	Scharade
912	d2e108569Herder-1854	Charakter	Charakteristik
914	d2e108671Herder-1854	Charge	Chargenpferd
915	d2e108777Herder-1854	Chariwari	Schariwari
916	d2e108797Herder-1854	Charlatan	Charlatanerie
917	d2e108797Herder-1854	Charlatan	Charlatanismus
918	d2e108797Herder-1854	Charlatan	Scharlatan
919	d2e108942Herder-1854	Charnier	Scharnier
920	d2e109037Herder-1854	Charpie	Scharpie
921	d2e109147Herder-1854	Charwoche	Charwochentage
922	d2e109291Herder-1854	Chassen	Schassen
924	d2e110186Herder-1854	Chelva	Tschelva
925	d2e110209Herder-1854	Chemie	Alchemie
926	d2e110658Herder-1854	Cheribon	Scheribon
927	d2e110678Herder-1854	Cherry	Tscherry
928	d2e110730Herder-1854	Cherub	Cherubim
929	d2e110802Herder-1854	Chesterfield [1]	Tschesterfield
930	d2e111210Herder-1854	Chiemsee [1]	Herrenchiemsee
931	d2e111226Herder-1854	Chiemsee [2]	Herrnchiemsee
932	d2e111260Herder-1854	Chiffon	Chiffonière
933	d2e111260Herder-1854	Chiffon	Schiffong
934	d2e111260Herder-1854	Chiffon	Schiffoniähr
935	d2e111260Herder-1854	Chiffon	Chiffonier
936	d2e111279Herder-1854	Chiffre	Dechiffreurs
937	d2e111333Herder-1854	Chili	Tschili
938	d2e111412Herder-1854	Chiloë	Tschiloë
939	d2e111469Herder-1854	Chimborasso	Tschimborasso
941	d2e111702Herder-1854	Chino	Tschino
942	d2e111712Herder-1854	Chinon	Schinong
943	d2e112000Herder-1854	Chitoppa	Tschitoppa
