,EntryID,Headword,Country
288,d3e191018Brockhaus-1809,Johann Reinhold (Reginald) von Patkul,Liefland
289,d3e192618Brockhaus-1809,William Pitt der jüngere,Irland
290,d3e192961Brockhaus-1809,Pohlen,Curland
291,d3e192961Brockhaus-1809,Pohlen,Rußland
292,d3e192961Brockhaus-1809,Pohlen,Rußland
293,d3e192961Brockhaus-1809,Pohlen,Rußland
294,d3e195705Brockhaus-1809,Quedlinburg,Deutschland
295,d3e197324Brockhaus-1809,Rußland,Rußland
296,d3e197324Brockhaus-1809,Rußland,Finnland
297,d3e198313Brockhaus-1809,Schwaben,Deutschland
298,d3e205199Brockhaus-1809,Zeeland,Seeland
