	EntryID	Headword	Results
314	d3e46339Brockhaus-1809	Ludwig der vierzehnte	Colbert
315	d3e46339Brockhaus-1809	Ludwig der vierzehnte	Ryswicksche Clausel
316	d3e46339Brockhaus-1809	Ludwig der vierzehnte	Spanischer Successionskrieg
317	d3e46681Brockhaus-1809	Ludwig der funfzehnte	Aachner Friede
318	d3e46681Brockhaus-1809	Ludwig der funfzehnte	Pompadour
319	d3e46681Brockhaus-1809	Ludwig der funfzehnte	Choiseul
320	d3e46681Brockhaus-1809	Ludwig der funfzehnte	Jesuiten
321	d3e47009Brockhaus-1809	Der Luftball	Aërostat
322	d3e47813Brockhaus-1809	Macartney	China
323	d3e48340Brockhaus-1809	Die Mährischen Brüder	Herrnhuter
324	d3e48354Brockhaus-1809	Die Mänade	Bacchante
325	d3e48715Brockhaus-1809	Der Magnet	Compaß
326	d3e49278Brockhaus-1809	Mahomed	Muhamed
327	d3e49492Brockhaus-1809	Main und Loire	Departements von Frankreich
328	d3e49787Brockhaus-1809	Die Mainzer Clubisten	Club
329	d3e49915Brockhaus-1809	Der Maire	London
330	d3e50239Brockhaus-1809	Die Malorossen	Kosaken
331	d3e50292Brockhaus-1809	Die Maltheserritter	Johanniterritter
332	d3e50350Brockhaus-1809	Manche	Departements von Frankreich
333	d3e50364Brockhaus-1809	Der Mandarin	China
334	d3e51008Brockhaus-1809	Die Manipulation	Magnetismus
335	d3e51063Brockhaus-1809	Mannheim	Iffland
336	d3e51440Brockhaus-1809	Elisabeth Mara	Händel
337	d3e51603Brockhaus-1809	Marathon	Miltiades
338	d3e51618Brockhaus-1809	Die Maratten	Mongolen
339	d3e52343Brockhaus-1809	Cajus Marius	Marius
340	d3e52435Brockhaus-1809	Der Herzog von Marlborough	Eugen
341	d3e52632Brockhaus-1809	Marne	Departements von Frankreich
342	d3e52646Brockhaus-1809	Obere Marne	Departements von Frankreich
343	d3e52660Brockhaus-1809	Marokko	Feß
344	d3e52772Brockhaus-1809	Das Marschland	Maschland
345	d3e52786Brockhaus-1809	Marseille	Lyon
