	EntryID	Headword	synonym
255	d3e147307Brockhaus-1809	Der Zwischenact	Intermezzi
256	d3e147839Brockhaus-1809	Die Acht	geistlichen
257	d3e147839Brockhaus-1809	Die Acht	Kirchenbann
258	d3e147839Brockhaus-1809	Die Acht	Achtsproceß
259	d3e147839Brockhaus-1809	Die Acht	Aber-Acht
260	d3e147839Brockhaus-1809	Die Acht	Kirchenbann
261	d3e149099Brockhaus-1809	Albion	Albain
262	d3e149099Brockhaus-1809	Albion	Ailp
263	d3e150256Brockhaus-1809	Annaberg (St. Annaberg)	Pölberg
264	d3e151220Brockhaus-1809	Armenien	Klein-Armenien
265	d3e151220Brockhaus-1809	Armenien	Pegian
266	d3e151602Brockhaus-1809	Die Aspecten	böse Aspecten
267	d3e151665Brockhaus-1809	Der Assiento-Tractat	Assiento-Schiff
268	d3e152360Brockhaus-1809	Baake	Tonnengeld
269	d3e153052Brockhaus-1809	Das Barret	Baretmacher
270	d3e153482Brockhaus-1809	Die Baumwolle	Strauch
271	d3e155469Brockhaus-1809	Bosnien	Bosnien
272	d3e155794Brockhaus-1809	Braunschweig	Suippe
273	d3e156393Brockhaus-1809	Die Bucharei	Schamo
274	d3e156828Brockhaus-1809	Cadmus	Theben
275	d3e157372Brockhaus-1809	Canada	Quebeck
276	d3e158127Brockhaus-1809	Cassel	Kastel,
277	d3e158541Brockhaus-1809	Die Catten	Hessi
278	d3e159525Brockhaus-1809	Churfürsten	küren
279	d3e159525Brockhaus-1809	Churfürsten	Erbliche
280	d3e159525Brockhaus-1809	Churfürsten	besondern
281	d3e161364Brockhaus-1809	Das Costnitzer	Costanz
282	d3e162715Brockhaus-1809	Deutschland	Fürstenthümer
283	d3e162715Brockhaus-1809	Deutschland	Güstrow, Ratzeburg
284	d3e164400Brockhaus-1809	Die Docke	Balustrade
285	d3e165978Brockhaus-1809	Die Erdzunge	Landenge
286	d3e166138Brockhaus-1809	Das Erzgebirge	sächsische Fichtelberg,
287	d3e166224Brockhaus-1809	Johann Baptiste Carl Graf d'Estaing	Turksinseln
288	d3e166444Brockhaus-1809	Europa	Hauptreligionen
289	d3e168137Brockhaus-1809	Frankreich	Doire
290	d3e168137Brockhaus-1809	Frankreich	Schelde
291	d3e168137Brockhaus-1809	Frankreich	Wälder
292	d3e168137Brockhaus-1809	Frankreich	untere Meuse
293	d3e168137Brockhaus-1809	Frankreich	Donnersberg
294	d3e168137Brockhaus-1809	Frankreich	Ruhr
295	d3e168137Brockhaus-1809	Frankreich	Saar
296	d3e168512Brockhaus-1809	Friedrich der Gebissene	Dietrich
297	d3e168790Brockhaus-1809	D. Franz Joseph Gall	Gehirnschädel-Lehre
298	d3e168989Brockhaus-1809	Der Galvanismus	Galvanische Batterie
299	d3e168989Brockhaus-1809	Der Galvanismus	Batterie
300	d3e169061Brockhaus-1809	Die Ganerben	Haus
301	d3e169146Brockhaus-1809	Gau oder Gow	Gografen
302	d3e169146Brockhaus-1809	Gau oder Gow	Graven
303	d3e169239Brockhaus-1809	Geldern	Niedergeldern
304	d3e169484Brockhaus-1809	Georgien	Russisch-Georgien
305	d3e169484Brockhaus-1809	Georgien	Türkisch-Georgien
306	d3e169970Brockhaus-1809	Der Globus	Himmelskugel
307	d3e170827Brockhaus-1809	Der Großfürst	Zaar
308	d3e171777Brockhaus-1809	Harlekin	Hundertfleck
309	d3e173373Brockhaus-1809	Die Horen	Dice
310	d3e176090Brockhaus-1809	Das Kameel	türkische Kameel
311	d3e176357Brockhaus-1809	Das Karillon	Kampanisten
312	d3e176573Brockhaus-1809	Der Kaviar	taurische Kaviar
313	d3e178274Brockhaus-1809	Lausanne	Waadtland
314	d3e178596Brockhaus-1809	Leipzig	Jakobshospitals
315	d3e178686Brockhaus-1809	Lemures	Larvä
316	d3e179992Brockhaus-1809	Mähren	Morawa
317	d3e181522Brockhaus-1809	Die Maske	Masken
318	d3e183208Brockhaus-1809	Mithridates	Dionysius
319	d3e183434Brockhaus-1809	Der Molo	Steen-Sluys
320	d3e183724Brockhaus-1809	Moratorium	eiserner Brief
321	d3e187027Brockhaus-1809	Der Nimbus	Heiligenschein
322	d3e193442Brockhaus-1809	Polar-Länder	Süd-Pol-
323	d3e195648Brockhaus-1809	Der Quatember	Quatembergeld
324	d3e196297Brockhaus-1809	Der Reiher	graue Reiher
325	d3e201028Brockhaus-1809	Die Tramontane	Polarstern
326	d3e201354Brockhaus-1809	Die Türkei	Türken
327	d3e201920Brockhaus-1809	Ungarn	Magnatentafel
328	d3e201920Brockhaus-1809	Ungarn	Ständetafel
329	d3e203831Brockhaus-1809	Die Stadt Warschau	Praga
330	d3e204047Brockhaus-1809	Weda	Foseta
331	d3e204995Brockhaus-1809	Xacca	Foe
332	d3e205505Brockhaus-1809	Der Zins	Pachtzins
333	d3e205765Brockhaus-1809	Zoophyten	Borametz
334	d3e910Brockhaus-1809	Der Aërostat	erhitzter
335	d3e1853Brockhaus-1809	Das Alkali	feuerbeständiges
336	d3e2583Brockhaus-1809	Der Anabaptist	Anabaptisten
337	d3e3433Brockhaus-1809	Die antiphlogistische Chemie	brennbares Wesen
338	d3e3488Brockhaus-1809	Der Antiquarius	Antiquar
339	d3e5018Brockhaus-1809	Die atmosphärische Luft	Salpeterstoff-Gas
340	d3e5405Brockhaus-1809	Die Avarie	gewöhnliche
341	d3e7669Brockhaus-1809	Die Beduinen	Schechs
342	d3e7686Brockhaus-1809	Die Beguinen	Begharden
343	d3e8150Brockhaus-1809	Bern	Französischen
344	d3e8686Brockhaus-1809	Der Bodensee	Costnitzer
345	d3e10560Brockhaus-1809	Das Buchhalten	gedoppelte
346	d3e18655Brockhaus-1809	Die dephlogistisirte Luft	 reine
347	d3e20068Brockhaus-1809	Der dreißigjährige Krieg	Westphälischen
348	d3e25622Brockhaus-1809	Die Franziscaner	Conventualen
349	d3e25622Brockhaus-1809	Die Franziscaner	Observanten
350	d3e26771Brockhaus-1809	Die Gambe	Gambenwerk
351	d3e27142Brockhaus-1809	Das Gas	Gas-
352	d3e27641Brockhaus-1809	Der Genius	Genien
353	d3e28092Brockhaus-1809	Die Germanen	Kriegsmann
354	d3e28310Brockhaus-1809	Die Gibellinen	Guelf
355	d3e28310Brockhaus-1809	Die Gibellinen	 Guelfen
356	d3e28439Brockhaus-1809	Giornovichi	Giarnovik
357	d3e30234Brockhaus-1809	Großbritannien und Irland	 Gallisch
358	d3e30234Brockhaus-1809	Großbritannien und Irland	fundirte
359	d3e31012Brockhaus-1809	Gustav III.	Mützen
360	d3e31387Brockhaus-1809	Halle	in Sachsen
361	d3e33804Brockhaus-1809	Die Landgrafschaft Hessen	Rheinfelsische
362	d3e36545Brockhaus-1809	Die Irmensäule	Herrmann
363	d3e36545Brockhaus-1809	Die Irmensäule	 Irmin
364	d3e37874Brockhaus-1809	Die Johanniterritter	Commenden
365	d3e40697Brockhaus-1809	Die Kosaken	Terkischen
366	d3e40697Brockhaus-1809	Die Kosaken	Jaikischen
367	d3e41639Brockhaus-1809	Die Kupferstecherkunst	Taillen
368	d3e42916Brockhaus-1809	Latona	Leto
369	d3e43329Brockhaus-1809	John Law	Lawischen Systems
370	d3e45477Brockhaus-1809	London	London-Infirmary
371	d3e47261Brockhaus-1809	Giovani Battista Lully	Lalouette
372	d3e47867Brockhaus-1809	Macedonien	Romanien
373	d3e48517Brockhaus-1809	Magellanienland	Magelhänsland
374	d3e48771Brockhaus-1809	Der Magnetismus	mit
375	d3e48962Brockhaus-1809	Die Mahlerei	Emaille-
376	d3e48962Brockhaus-1809	Die Mahlerei	Mosaische
377	d3e51618Brockhaus-1809	Die Maratten	Mar-Rajah
378	d3e51968Brockhaus-1809	Maria Stuart	durch
379	d3e53584Brockhaus-1809	Die Mauren	 Arabern
380	d3e54737Brockhaus-1809	Das Melodrama	Monodrama
